h3_id,latitude,longitude,S_saude,S_educacao,S_abastecimento,S_lazer,S_servicos,I_seguranca,A_vegetacao,A_agua,C_conectividade,T_transporte,U_urbanidade,IQC
89a8100c533ffff,-23.565768649137375,-46.6567893539234,18.35,6.62,18.24,75.32,51.54,649.04,3.77,0.02,14.98,21.31,6.17,0.4813
89a8100c507ffff,-23.56744353691216,-46.653778245001,19.23,8.6,21.4,86.88,64.99,610.94,3.06,0.03,14.37,21.76,4.78,0.5007
89a8100c53bffff,-23.56437752801225,-46.653687745704474,19.3,9.2,20.17,78.11,61.34,556.09,3.71,0.05,13.36,24.18,9.29,0.5321
89a8100c523ffff,-23.56270259259935,-46.65669884087957,19.57,9.64,20.89,101.05,66.66,661.41,4.42,0.03,14.87,28.28,10.86,0.5982
89a8100c537ffff,-23.564093683407,-46.6598004219522,18.47,7.09,19.5,101.74,57.37,618.64,3.88,0.02,13.45,30.39,6.69,0.5151
89a8100c5afffff,-23.5671596736491,-46.659890949606016,20.09,5.08,16.14,63.44,39.67,659.84,3.05,0.02,15.27,19.34,1.48,0.4076
89a8100c5abffff,-23.568834591745016,-46.65687986783067,20.01,6.89,19.95,75.28,49.44,689.27,2.49,0.01,16.33,19.18,1.08,0.4485
89a8100c517ffff,-23.570509431874974,-46.65386874516083,14.52,6.61,16.44,61.9,41.54,529.56,2.28,0.04,14.05,13.88,0.4,0.3639
89a8100c503ffff,-23.569118346717044,-46.65076709520078,22.95,11.61,24.17,98.73,79.47,654.0,2.06,0.03,15.99,22.59,2.78,0.5531
89a8100c50fffff,-23.56605238546562,-46.65067660965246,23.18,11.98,24.82,93.03,73.84,654.92,2.21,0.07,15.83,24.1,5.41,0.5788
89a8100c577ffff,-23.562986310281637,-46.650586124967326,16.95,7.71,18.57,58.29,42.83,498.52,2.89,0.09,12.4,18.22,5.55,0.4273
89a8100c52bffff,-23.561311405186494,-46.65359724727126,19.51,10.66,21.16,84.84,58.14,575.37,4.39,0.05,13.69,23.28,9.62,0.5552
89a8100c52fffff,-23.55963642214217,-46.656608328699136,23.73,10.86,25.23,115.83,72.01,590.11,4.8,0.02,13.37,26.08,8.95,0.5987
89a8100c527ffff,-23.56102757924122,-46.65970989516193,21.53,10.22,24.95,138.55,75.31,621.0,4.22,0.02,13.01,33.37,6.48,0.5929
89a8100eacbffff,-23.56241863973535,-46.662811449071604,19.65,4.88,21.89,110.75,50.51,548.31,2.01,0.01,12.77,34.16,2.75,0.4564
89a8100eadbffff,-23.565484677601553,-46.662901990471084,17.98,1.87,15.73,64.6,34.64,478.21,1.63,0.01,11.76,21.67,1.24,0.3258
89a8100c5a7ffff,-23.56855060153956,-46.66299253273421,23.27,3.1,15.69,67.23,40.96,670.61,1.92,0.01,17.09,22.01,1.36,0.4121
89a8100c5a3ffff,-23.570225549956294,-46.65998147812337,20.55,4.77,15.12,56.49,35.86,640.23,2.48,0.02,15.58,15.83,0.13,0.3761
89a8100c5bbffff,-23.571900420411044,-46.65697038260136,16.15,6.11,14.64,56.96,37.14,554.26,2.76,0.1,14.44,13.2,0.1,0.357
89a8100c58fffff,-23.573575212889487,-46.65395924618397,11.74,5.81,12.71,48.12,33.43,485.37,3.48,0.22,13.79,11.04,0.08,0.3204
89a8100c513ffff,-23.57218419402469,-46.65085758161229,16.31,9.48,17.27,71.25,55.24,582.3,2.31,0.06,15.46,14.97,0.48,0.4274
89a8100c51bffff,-23.570793078537744,-46.647755904538556,26.73,13.71,22.17,100.46,88.01,696.62,2.18,0.02,17.0,22.26,2.87,0.5941
89a8100c50bffff,-23.567727164945136,-46.64766543273932,24.79,11.33,20.64,83.81,74.52,696.57,2.25,0.06,16.22,21.24,4.31,0.5554
89a8100c573ffff,-23.564661137413285,-46.647574961803166,24.64,12.49,25.0,85.27,64.35,761.92,2.08,0.08,18.8,20.84,5.22,0.5987
89a8100c563ffff,-23.561594995953396,-46.64748449173007,14.81,8.0,18.55,51.67,26.25,532.8,1.81,0.12,13.52,11.37,3.53,0.3858
89a8100c567ffff,-23.55992012117632,-46.65049564114537,8.77,4.91,9.21,28.63,21.22,307.04,3.82,0.05,7.89,11.35,3.94,0.2581
89a8100c193ffff,-23.558245168446113,-46.653506749701315,10.83,3.74,10.92,39.51,23.22,275.08,6.62,0.04,6.47,6.58,3.66,0.2442
89a8100c197ffff,-23.556570137777086,-46.6565178173821,30.68,12.31,34.67,140.15,80.98,624.08,4.62,0.01,15.41,26.65,4.18,0.638
89a8100ea5bffff,-23.55796136116299,-46.65961936923517,29.19,12.44,32.73,170.81,93.4,685.14,3.77,0.01,15.42,37.42,5.34,0.6923
89a8100ea53ffff,-23.55935248795216,-46.662720908535775,24.38,9.78,29.37,163.12,74.46,656.35,2.51,0.01,15.26,41.19,3.84,0.6203
