h3_id,latitude,longitude,S_saude,S_educacao,S_abastecimento,S_lazer,S_servicos,I_seguranca,A_vegetacao,A_agua,C_conectividade,T_transporte,U_urbanidade,IQC
89a8100c533ffff,-23.565768649137375,-46.6567893539234,10.19,3.11,11.59,39.43,28.4,414.68,4.91,0.03,9.53,12.33,2.89,0.4011
89a8100c507ffff,-23.56744353691216,-46.653778245001,11.52,4.11,13.46,52.53,40.15,384.03,3.57,0.02,9.16,13.03,2.1,0.4226
89a8100c53bffff,-23.56437752801225,-46.653687745704474,10.56,4.75,12.38,44.45,36.93,318.64,4.15,0.03,7.93,16.6,6.49,0.4541
89a8100c523ffff,-23.56270259259935,-46.65669884087957,8.32,4.47,9.95,52.47,37.38,382.16,6.36,0.04,8.64,15.75,8.53,0.4873
89a8100c537ffff,-23.564093683407,-46.6598004219522,8.19,3.62,9.83,52.52,28.06,358.36,5.14,0.03,7.49,16.4,3.91,0.3947
89a8100c5afffff,-23.5671596736491,-46.659890949606016,12.93,3.17,10.19,36.2,21.82,429.03,3.6,0.02,9.82,10.32,0.11,0.3614
89a8100c5abffff,-23.568834591745016,-46.65687986783067,13.43,4.98,13.59,48.87,30.49,447.6,2.54,0.01,10.96,12.36,0.01,0.4271
89a8100c517ffff,-23.570509431874974,-46.65386874516083,8.65,4.15,9.55,38.18,24.15,313.09,1.21,0.0,8.43,8.74,0.0,0.3124
89a8100c503ffff,-23.569118346717044,-46.65076709520078,13.7,7.13,14.72,65.37,51.73,385.61,1.32,0.01,9.39,13.14,1.16,0.4736
89a8100c50fffff,-23.56605238546562,-46.65067660965246,15.14,6.74,16.06,56.63,47.47,382.83,1.62,0.07,9.56,14.34,3.71,0.5053
89a8100c577ffff,-23.562986310281637,-46.650586124967326,9.85,3.77,10.91,27.49,20.28,269.03,2.48,0.11,7.32,11.53,3.14,0.3355
89a8100c52bffff,-23.561311405186494,-46.65359724727126,9.67,6.89,9.63,42.53,30.18,348.99,5.11,0.03,8.44,14.46,6.74,0.4665
89a8100c52fffff,-23.55963642214217,-46.656608328699136,13.77,5.91,12.81,67.36,42.25,353.79,5.27,0.02,7.97,14.25,6.18,0.4966
89a8100c527ffff,-23.56102757924122,-46.65970989516193,11.13,7.0,12.23,82.8,45.64,368.67,5.47,0.03,7.21,18.84,3.95,0.4917
89a8100eacbffff,-23.56241863973535,-46.662811449071604,12.47,2.61,13.56,68.22,29.53,339.58,1.45,0.0,7.66,23.01,1.08,0.3961
89a8100eadbffff,-23.565484677601553,-46.662901990471084,11.48,0.77,9.73,39.76,20.61,285.29,0.92,0.0,6.85,12.62,0.52,0.2797
89a8100c5a7ffff,-23.56855060153956,-46.66299253273421,15.5,1.8,10.05,42.24,26.09,446.11,1.6,0.0,10.93,13.17,0.48,0.3866
89a8100c5a3ffff,-23.570225549956294,-46.65998147812337,13.97,3.77,10.31,37.42,22.71,415.82,2.16,0.01,9.95,8.79,0.0,0.3639
89a8100c5bbffff,-23.571900420411044,-46.65697038260136,10.75,5.04,10.18,40.84,26.0,348.04,1.45,0.01,9.11,8.53,0.0,0.3479
89a8100c58fffff,-23.573575212889487,-46.65395924618397,6.75,3.38,7.59,30.69,20.36,288.99,1.88,0.04,8.49,7.09,0.0,0.2757
89a8100c513ffff,-23.57218419402469,-46.65085758161229,7.71,5.28,10.3,39.01,26.66,330.1,1.11,0.01,9.3,7.84,0.05,0.3366
89a8100c51bffff,-23.570793078537744,-46.647755904538556,16.92,9.49,13.17,72.83,63.08,430.55,1.83,0.0,9.94,15.31,1.37,0.5452
