h3_id,latitude,longitude,S_saude,S_educacao,S_abastecimento,S_lazer,S_servicos,I_seguranca,A_vegetacao,A_agua,C_conectividade,T_transporte,U_urbanidade,IQC
89a8100c533ffff,-23.565768649137375,-46.6567893539234,4.38,0.56,5.75,13.56,9.66,192.75,8.03,0.06,5.11,6.81,0.32,0.3064
89a8100c507ffff,-23.56744353691216,-46.653778245001,4.81,0.61,7.21,19.7,15.94,192.46,4.05,0.03,4.97,6.02,0.11,0.3189
89a8100c53bffff,-23.56437752801225,-46.653687745704474,4.22,1.29,5.95,20.31,17.87,117.0,3.79,0.02,3.25,8.21,3.17,0.3386
89a8100c523ffff,-23.56270259259935,-46.65669884087957,1.13,1.29,2.65,22.01,16.85,164.9,12.41,0.1,3.47,5.98,4.92,0.3671
89a8100c537ffff,-23.564093683407,-46.6598004219522,1.44,1.9,1.62,14.74,7.49,141.93,7.08,0.05,2.96,5.45,1.5,0.2366
89a8100c5afffff,-23.5671596736491,-46.659890949606016,7.39,1.62,5.57,16.25,11.15,190.17,3.88,0.02,5.06,4.14,0.0,0.319
89a8100c5abffff,-23.568834591745016,-46.65687986783067,7.54,3.25,6.85,26.47,15.98,200.59,1.81,0.01,5.41,7.22,0.0,0.3884
89a8100c517ffff,-23.570509431874974,-46.65386874516083,3.92,1.99,3.72,19.74,11.27,142.09,0.63,0.0,4.03,4.17,0.0,0.2504
89a8100c503ffff,-23.569118346717044,-46.65076709520078,5.73,2.39,5.22,31.41,24.21,182.07,0.51,0.0,4.47,4.11,0.1,0.338
89a8100c50fffff,-23.56605238546562,-46.65067660965246,7.4,3.42,7.9,28.3,23.47,162.95,0.59,0.03,4.49,5.95,2.56,0.4309
89a8100c577ffff,-23.562986310281637,-46.650586124967326,4.32,0.87,5.59,9.01,6.05,107.8,1.94,0.05,3.95,6.39,1.21,0.2527
89a8100c52bffff,-23.561311405186494,-46.65359724727126,3.35,3.52,2.29,13.35,10.57,149.7,5.31,0.02,4.19,7.41,2.8,0.345
89a8100c52fffff,-23.55963642214217,-46.656608328699136,4.77,1.46,3.48,22.44,12.56,136.28,5.32,0.03,2.88,4.67,2.34,0.2909
89a8100c527ffff,-23.56102757924122,-46.65970989516193,4.75,3.22,4.59,36.02,20.52,132.67,7.17,0.03,2.84,6.47,1.63,0.3355
89a8100eacbffff,-23.56241863973535,-46.662811449071604,6.01,0.95,6.32,27.9,15.52,154.04,1.17,0.0,3.73,12.4,0.08,0.3179
89a8100eadbffff,-23.565484677601553,-46.662901990471084,4.47,0.19,4.98,18.33,6.36,161.16,0.79,0.0,3.42,4.88,0.0,0.2258
89a8100c5a7ffff,-23.56855060153956,-46.66299253273421,7.78,0.95,5.19,20.62,11.89,263.94,1.29,0.0,6.14,5.81,0.0,0.3758
89a8100c5a3ffff,-23.570225549956294,-46.65998147812337,8.24,2.42,5.61,19.15,14.23,223.27,1.53,0.0,5.38,4.58,0.0,0.3638
89a8100c5bbffff,-23.571900420411044,-46.65697038260136,5.56,3.66,5.96,24.87,14.3,173.54,1.03,0.0,4.53,4.04,0.0,0.3263
89a8100c58fffff,-23.573575212889487,-46.65395924618397,3.31,1.08,3.89,15.49,9.9,129.57,0.79,0.0,4.13,3.42,0.0,0.2227
89a8100c513ffff,-23.57218419402469,-46.65085758161229,2.38,1.57,4.68,14.61,7.48,152.93,0.48,0.0,4.31,3.21,0.0,0.2328
89a8100c51bffff,-23.570793078537744,-46.647755904538556,6.61,6.2,5.89,41.22,33.12,184.4,1.34,0.0,3.9,8.55,0.52,0.4402
89a8100c50bffff,-23.567727164945136,-46.64766543273932,7.22,1.52,4.74,14.02,19.04,194.5,1.41,0.03,4.38,4.28,0.5,0.3238
89a8100c573ffff,-23.564661137413285,-46.647574961803166,7.67,1.3,8.1,19.48,13.0,219.67,1.06,0.16,5.99,5.83,1.32,0.4045
89a8100c563ffff,-23.561594995953396,-46.64748449173007,4.02,0.94,4.89,11.44,2.67,121.4,1.86,0.43,3.68,2.3,0.39,0.2071
89a8100c567ffff,-23.55992012117632,-46.65049564114537,1.05,0.56,0.95,2.08,1.86,76.25,3.24,0.0,2.6,1.48,0.25,0.1048
89a8100c193ffff,-23.558245168446113,-46.653506749701315,2.31,0.25,0.78,3.08,1.91,23.08,4.27,0.02,1.51,0.01,0.85,0.074
89a8100c197ffff,-23.556570137777086,-46.6565178173821,12.81,4.37,16.39,62.08,31.45,226.98,3.1,0.0,5.38,9.45,0.49,0.5787
89a8100ea5bffff,-23.55796136116299,-46.65961936923517,9.79,5.01,9.09,56.13,38.98,216.59,3.14,0.01,4.23,10.27,0.78,0.5234
89a8100ea53ffff,-23.55935248795216,-46.662720908535775,7.24,4.48,8.53,59.97,18.19,241.58,2.33,0.0,4.96,14.46,0.1,0.4887
89a8100eacfffff,-23.560743518136725,-46.66582243526581,7.66,1.19,9.38,50.17,17.03,222.59,0.72,0.0,5.29,18.07,1.21,0.4843
89a8100eac3ffff,-23.563809603616686,-46.665912990410064,11.29,0.0,9.42,48.12,24.82,178.84,0.58,0.0,4.69,16.08,1.6,0.4772
89a8100ead3ffff,-23.566875575175136,-46.66600354641809,6.19,0.0,4.89,25.41,16.84,181.51,0.6,0.0,4.56,9.06,0.58,0.3264
89a8100ee6bffff,-23.56994143280086,-46.66609410328988,1.99,0.0,0.5,5.45,5.13,136.28,1.05,0.0,3.56,3.29,0.0,0.1569
89a8100c5b7ffff,-23.571616411538123,-46.663083075860996,6.61,0.5,0.45,6.51,7.75,214.51,1.9,0.0,5.33,2.27,0.0,0.2664
89a8100c5b3ffff,-23.573291312317348,-46.66007200750427,4.21,1.43,2.9,16.38,9.99,214.83,1.57,0.0,5.29,3.46,0.0,0.2904
89a8100c587ffff,-23.57496613512423,-46.657060898235486,3.0,0.82,4.64,13.4,10.91,176.04,2.15,0.03,5.02,2.76,0.0,0.2569
89a8100c583ffff,-23.57664087994445,-46.65404974807046,0.63,0.0,0.56,2.16,1.66,30.59,0.57,0.0,1.49,0.5,0.0,0.0378
89a8100c58bffff,-23.575249927377325,-46.650948068887025,1.21,0.66,3.49,6.7,4.03,95.59,1.07,0.0,3.89,2.49,0.0,0.1586
89a8100c5c7ffff,-23.573858878179852,-46.647846377200885,4.13,2.65,7.06,15.2,7.54,202.32,1.31,0.0,5.96,2.16,0.0,0.3207
89a8100c5cfffff,-23.572467732359918,-46.64474467303014,11.9,3.83,5.7,35.04,29.87,272.76,4.45,0.0,5.04,5.77,0.81,0.4927
89a8100c557ffff,-23.5694018664365,-46.64465421498086,7.46,1.78,2.18,15.51,22.11,189.45,4.32,0.0,4.05,3.57,0.62,0.3174
89a8100c547ffff,-23.566335886567135,-46.64456375779456,4.18,0.29,3.37,6.5,5.91,184.51,1.88,0.06,4.86,3.12,0.08,0.2404
89a8100c57bffff,-23.563269792763034,-46.64447330147121,3.14,1.66,5.02,12.06,4.51,208.54,1.43,0.15,5.91,3.24,0.51,0.3031
89a8100c56bffff,-23.560203585035445,-46.6443828460108,1.66,2.9,4.54,14.15,5.07,128.78,2.26,0.0,3.09,2.42,0.82,0.2211
89a8100c56fffff,-23.55852874057672,-46.647394022520025,1.63,2.38,5.4,20.39,2.83,175.29,2.09,0.17,4.04,0.4,0.63,0.2461
89a8100c19bffff,-23.556853818160914,-46.65040515818658,2.21,1.55,2.91,6.99,4.11,113.41,3.01,0.0,2.87,1.05,0.02,0.1562
89a8100c183ffff,-23.55517881780235,-46.653416252994646,5.71,0.48,5.14,12.99,12.89,115.56,4.5,0.0,3.16,3.18,0.0,0.217
89a8100c187ffff,-23.55350373951532,-46.656427306928435,6.25,3.13,11.31,40.0,18.03,163.29,3.49,0.0,4.27,6.22,0.0,0.3727
