h3_id,latitude,longitude,S_saude,S_educacao,S_abastecimento,S_lazer,S_servicos,I_seguranca,A_vegetacao,A_agua,C_conectividade,T_transporte,U_urbanidade,IQC
89a8acc6c47ffff,-22.425713538241478,-45.45477845629558,15.25,9.59,2.73,11.81,12.36,9.63,4.88,0.0,18.54,0.6,0.7,0.5315
89a8acc6c43ffff,-22.427386219168735,-45.4517609784118,15.09,14.61,2.6,12.73,10.82,7.12,7.0,0.0,16.99,0.25,0.9,0.5079
89a8acc6c4fffff,-22.424273987173162,-45.451676263545316,18.56,13.58,2.68,14.19,12.58,7.14,7.91,0.0,18.53,0.35,0.82,0.5559
89a8acc6c7bffff,-22.422601258542908,-45.45469372742703,17.24,8.27,1.98,10.58,12.67,8.41,5.83,0.01,18.43,0.56,0.82,0.5099
89a8acc6c73ffff,-22.424040779985422,-45.45779589987419,13.97,6.82,2.52,10.16,11.79,11.01,4.1,0.0,19.6,0.9,0.96,0.552
89a8acc6c0bffff,-22.42715299768197,-45.45788064355752,8.88,4.65,2.31,7.31,8.46,8.72,3.12,0.0,13.94,0.53,0.31,0.3709
89a8acc6c57ffff,-22.428825708238687,-45.454863185977516,11.16,8.88,2.22,9.78,8.43,7.18,3.82,0.0,18.28,0.35,0.55,0.418
89a8acc6c53ffff,-22.430498341455884,-45.45184569409153,9.7,16.15,1.75,9.39,8.15,4.98,7.02,0.0,12.16,0.06,0.88,0.3791
89a8acc6c5bffff,-22.42905882275296,-45.448743466238966,5.56,17.34,1.43,7.35,5.04,3.42,11.94,0.0,9.95,0.0,0.73,0.3166
89a8acc6c4bffff,-22.425946638471135,-45.44865876537536,14.56,16.53,2.6,13.61,9.63,5.65,12.67,0.0,17.14,0.09,0.84,0.5097
89a8acc6eb3ffff,-22.422834344486404,-45.4485740653249,12.53,9.74,1.66,10.27,7.91,11.9,11.19,0.0,13.84,0.03,0.54,0.3881
89a8acc6eb7ffff,-22.421161645481757,-45.45159154949209,16.87,9.19,1.59,10.71,10.88,11.06,8.21,0.01,16.25,0.24,0.6,0.444
