h3_id,latitude,longitude,S_saude,S_educacao,S_abastecimento,S_lazer,S_servicos,I_seguranca,A_vegetacao,A_agua,C_conectividade,T_transporte,U_urbanidade,IQC
89a8acc6c47ffff,-22.425713538241478,-45.45477845629558,11.23,4.64,1.6,7.94,9.38,7.09,3.94,0.0,12.01,0.43,0.32,0.4457
89a8acc6c43ffff,-22.427386219168735,-45.4517609784118,10.58,9.2,1.76,8.51,7.65,5.08,5.54,0.0,10.55,0.05,0.83,0.4366
89a8acc6c4fffff,-22.424273987173162,-45.451676263545316,14.51,8.68,2.0,10.53,10.02,4.96,7.06,0.0,12.1,0.13,0.65,0.5127
89a8acc6c7bffff,-22.422601258542908,-45.45469372742703,12.79,3.87,1.12,6.82,10.52,3.85,6.2,0.0,11.95,0.35,0.24,0.4198
89a8acc6c73ffff,-22.424040779985422,-45.45779589987419,9.56,3.75,1.58,6.9,9.0,8.33,4.23,0.0,12.76,0.84,0.4,0.4803
89a8acc6c0bffff,-22.42715299768197,-45.45788064355752,5.57,2.66,1.47,4.41,5.09,6.14,2.32,0.0,8.12,0.35,0.02,0.2784
89a8acc6c57ffff,-22.428825708238687,-45.454863185977516,7.7,4.22,1.09,5.9,4.67,4.52,2.62,0.0,10.96,0.13,0.29,0.3052
89a8acc6c53ffff,-22.430498341455884,-45.45184569409153,5.5,12.57,0.91,5.33,5.19,3.44,5.38,0.0,6.91,0.0,0.79,0.2958
89a8acc6c5bffff,-22.42905882275296,-45.448743466238966,2.76,15.83,1.0,4.96,3.23,2.8,9.88,0.0,6.02,0.0,0.59,0.2676
89a8acc6c4bffff,-22.425946638471135,-45.44865876537536,10.15,12.48,2.25,10.2,6.59,4.3,12.01,0.0,11.07,0.0,0.76,0.4823
89a8acc6eb3ffff,-22.422834344486404,-45.4485740653249,7.34,4.75,1.07,6.62,4.96,1.83,10.45,0.0,7.62,0.0,0.29,0.2889
89a8acc6eb7ffff,-22.421161645481757,-45.45159154949209,12.74,4.67,0.98,7.11,8.8,2.03,8.18,0.0,10.32,0.04,0.21,0.3604
89a8acc6c6bffff,-22.419488869155586,-45.45460899937183,8.66,1.84,0.57,3.14,6.84,1.46,6.24,0.01,8.68,0.15,0.05,0.2501
89a8acc6c63ffff,-22.42092845259461,-45.45771115700435,4.02,2.03,0.6,2.7,3.23,5.16,4.11,0.0,9.51,0.68,0.84,0.3121
89a8acc6c77ffff,-22.422367944414805,-45.46081330913146,3.63,3.48,1.28,3.69,3.41,8.85,3.18,0.0,11.14,0.91,1.14,0.4125
89a8acc6c0fffff,-22.425480209799918,-45.46089806681541,4.32,3.46,1.91,5.11,5.14,11.43,2.53,0.0,12.68,0.9,0.76,0.4549
89a8acc6c03ffff,-22.428592365485237,-45.460982825312975,1.36,2.15,1.8,3.18,3.71,7.97,2.04,0.0,8.69,0.56,0.23,0.2934
89a8acc6c1bffff,-22.430265105671634,-45.45796538805437,4.14,2.78,1.53,4.22,2.7,3.65,1.24,0.0,11.96,0.04,0.05,0.2537
89a8acc6ccfffff,-22.43193776852198,-45.45494791647284,4.61,2.71,0.93,4.04,1.75,2.45,1.91,0.0,10.7,0.0,0.07,0.208
89a8acc6ccbffff,-22.43361035402204,-45.451930410584545,0.29,0.78,0.17,1.33,0.0,0.23,1.9,0.03,7.99,0.0,0.0,0.0835
89a8acc6127ffff,-22.432170897319324,-45.44882816791572,3.3,6.48,0.82,4.4,1.64,2.07,11.23,0.0,6.08,0.0,0.1,0.1964
89a8acc612fffff,-22.430731348979965,-45.445725919793276,0.02,0.13,0.02,0.32,0.02,0.15,16.55,0.0,2.24,0.0,0.0,0.0619
89a8acc6e97ffff,-22.4276192124226,-45.44564123293335,5.65,12.56,1.85,7.83,3.6,2.88,17.61,0.0,9.77,0.0,0.58,0.3947
89a8acc6e87ffff,-22.424506966155274,-45.44555654688642,5.27,6.9,1.73,6.25,2.48,2.36,19.3,0.0,7.27,0.0,0.49,0.3311
89a8acc6ebbffff,-22.421394610190585,-45.44547186165251,3.73,4.28,0.23,4.32,1.93,15.51,17.4,0.01,11.28,0.0,0.13,0.2605
89a8acc6ea3ffff,-22.419721940811364,-45.44848936608755,7.25,8.61,0.5,5.62,4.7,25.74,13.33,0.05,11.62,0.0,0.29,0.3468
89a8acc6ea7ffff,-22.418049194107123,-45.45150683625209,3.25,3.24,0.12,0.96,2.96,7.87,7.8,0.11,5.49,0.0,0.23,0.1463
89a8acc68d3ffff,-22.416376370092078,-45.454524272129994,4.03,7.63,0.09,0.87,2.46,15.02,8.32,0.23,7.98,0.0,0.43,0.2056
89a8acc6c6fffff,-22.417816015522092,-45.45762641494799,1.21,0.46,0.03,0.51,0.39,1.65,5.46,0.0,5.05,0.3,0.2,0.1088
89a8acc6c67ffff,-22.419255569342475,-45.46072855226112,2.61,2.39,0.31,1.48,0.86,3.33,3.46,0.0,9.02,0.57,1.11,0.265
89a8acc6c2bffff,-22.42069503154384,-45.46383068405124,0.92,3.73,0.51,2.47,0.91,7.15,1.73,0.0,10.78,0.58,1.72,0.3347
89a8acc6c3bffff,-22.4238073446068,-45.463915455735,1.2,3.12,1.5,3.39,2.66,11.65,2.24,0.0,11.17,0.78,1.1,0.3866
89a8acc6c07ffff,-22.42691954797702,-45.4640002282325,0.49,1.67,1.65,2.23,3.13,9.64,1.99,0.0,8.95,0.42,0.2,0.2589
89a8acc6c17ffff,-22.430031641641918,-45.464085001543744,0.41,1.23,1.43,1.99,2.4,5.09,1.21,0.0,11.21,0.22,0.02,0.2195
89a8acc6c13ffff,-22.431704411458167,-45.46106758462417,0.63,1.2,1.24,2.04,1.67,2.92,0.91,0.0,9.97,0.08,0.0,0.1763
89a8acc6cc7ffff,-22.43337710394185,-45.45805013336472,1.3,1.73,0.91,2.72,0.36,0.99,0.73,0.0,10.81,0.0,0.0,0.1582
89a8acc6cc3ffff,-22.43504971907875,-45.45503264778156,1.31,1.36,0.51,2.35,0.22,0.71,1.33,0.04,10.75,0.0,0.0,0.138
89a8acc6cdbffff,-22.436722256854633,-45.45201512789083,0.16,0.66,0.11,1.16,0.0,0.16,1.74,0.04,7.39,0.0,0.0,0.0728
89a8acc6137ffff,-22.435282862157624,-45.44891287040562,0.29,0.78,0.17,1.33,0.0,0.23,1.9,0.03,7.99,0.0,0.0,0.0835
89a8acc6123ffff,-22.433843375814785,-45.44581060746624,0.36,1.33,0.17,1.29,0.26,0.57,14.52,0.0,3.56,0.0,0.0,0.0876
89a8acc612bffff,-22.432403797835516,-45.44270833909086,1.08,3.85,0.51,3.01,1.29,0.96,11.66,0.0,8.62,0.0,0.01,0.1698
89a8acc6e93ffff,-22.42929170901335,-45.44262366623539,3.0,8.71,0.99,5.09,2.45,1.64,19.42,0.0,8.78,0.0,0.16,0.2731
89a8acc6e83ffff,-22.426179510474174,-45.442538994192816,4.12,6.33,1.27,5.28,1.83,1.87,25.49,0.0,9.01,0.0,0.28,0.3132
89a8acc6e8fffff,-22.423067202230566,-45.44245432296313,2.87,2.0,0.89,3.79,0.61,1.06,22.27,0.0,10.33,0.0,0.09,0.2482
89a8acc6e17ffff,-22.419954784295104,-45.44236965254631,0.69,1.21,0.01,0.8,0.0,2.17,17.41,0.01,10.65,0.0,0.0,0.1536
89a8acc6eabffff,-22.418282144541106,-45.44538717723158,1.31,8.41,0.0,1.4,0.47,34.2,15.18,0.22,9.5,0.0,0.21,0.2293
89a8acc6eafffff,-22.416609427458617,-45.44840466766331,1.59,14.29,0.0,1.87,0.78,34.15,15.95,0.37,7.96,0.0,0.57,0.2649
89a8acc68dbffff,-22.41493663306183,-45.45142212382533,2.07,20.79,0.0,1.3,1.61,36.21,13.28,0.59,8.42,0.0,0.77,0.2994
89a8acc68c3ffff,-22.413263761365013,-45.454439545701504,1.05,4.23,0.0,0.32,0.37,8.82,4.98,0.28,7.38,0.0,0.3,0.1254
89a8acc68d7ffff,-22.414703468780484,-45.457541673705094,2.62,2.03,0.01,0.26,1.11,4.19,6.95,0.05,6.12,0.0,0.18,0.11
89a8acc689bffff,-22.41614308459552,-45.460643796204394,1.17,1.29,0.0,0.21,0.02,0.45,2.17,0.0,5.99,0.09,0.76,0.1177
89a8acc6893ffff,-22.417582608800735,-45.46374591318121,0.92,3.07,0.03,0.99,0.08,2.74,1.35,0.0,9.24,0.2,1.69,0.2334
89a8acc6c2fffff,-22.419022041386757,-45.466848024617384,0.13,3.04,0.01,1.06,0.05,4.26,0.62,0.0,8.25,0.16,1.5,0.2025
89a8acc6c23ffff,-22.422134402116807,-45.466932810300165,0.01,2.69,0.33,1.71,0.44,9.17,1.66,0.0,10.53,0.2,1.21,0.2383
89a8acc6c33ffff,-22.425246653161196,-45.4670175967968,0.0,1.01,0.36,1.31,0.58,8.77,6.14,0.0,10.89,0.12,0.45,0.1909
89a8acc6cabffff,-22.42835879450733,-45.4671023841073,0.0,0.31,0.41,0.91,1.03,4.5,4.29,0.0,9.7,0.02,0.11,0.135
89a8acc6cbbffff,-22.431470826142633,-45.467187172231675,0.0,0.1,0.17,0.34,0.47,0.54,1.68,0.0,7.37,0.0,0.0,0.0704
89a8acc6c8fffff,-22.433143625588922,-45.46416977566876,0.0,0.51,0.63,0.98,0.96,1.09,1.31,0.0,9.83,0.01,0.0,0.1225
89a8acc6c8bffff,-22.434816347706136,-45.46115234474902,0.23,1.15,0.76,1.63,0.31,0.56,0.43,0.01,10.32,0.0,0.0,0.1306
89a8acc6cd7ffff,-22.43648899248005,-45.458134879488604,0.24,1.17,0.43,1.46,0.0,0.39,0.41,0.08,10.91,0.0,0.0,0.1191
89a8acc6cd3ffff,-22.438161559896432,-45.45511737990369,0.16,0.68,0.11,1.18,0.0,0.16,1.31,0.06,8.07,0.0,0.0,0.0781
89a8acc61a7ffff,-22.43983404994108,-45.45209984601042,0.0,0.05,0.0,0.11,0.0,0.0,0.07,0.43,4.94,0.0,0.0,0.0362
89a8acc61afffff,-22.4383947172553,-45.44899757370869,0.0,0.05,0.0,0.11,0.0,0.0,0.07,0.43,4.94,0.0,0.0,0.0362
89a8acc6133ffff,-22.4369552929145,-45.44589529595224,0.67,0.0,0.43,0.01,0.0,0.0,0.12,0.0,9.81,0.0,0.0,0.0954
89a8acc613bffff,-22.435515776928064,-45.44279301275925,0.91,0.0,0.34,0.09,0.0,0.0,0.81,0.0,5.17,0.0,0.0,0.0532
89a8acc6177ffff,-22.43407616930538,-45.43969072414789,0.61,0.85,0.4,1.2,0.47,0.25,6.85,0.0,8.1,0.0,0.0,0.1145
89a8acc6167ffff,-22.43096412822917,-45.43960606529767,0.88,2.53,0.25,2.3,1.21,0.63,12.67,0.0,8.24,0.0,0.0,0.1475
89a8acc6e9bffff,-22.427851977428876,-45.43952140726023,1.81,3.74,0.47,3.14,1.52,0.74,22.34,0.0,8.86,0.0,0.01,0.2111
89a8acc6e8bffff,-22.424739716917088,-45.43943675003556,3.0,2.66,0.83,3.29,1.06,1.0,31.85,0.0,6.7,0.0,0.07,0.2441
89a8acc6e13ffff,-22.421627346706376,-45.43935209362365,0.02,0.01,0.0,0.3,0.0,0.0,24.97,0.0,7.46,0.0,0.0,0.1355
89a8acc6e03ffff,-22.418514866809353,-45.439267438024494,0.45,0.98,0.0,0.85,0.0,0.27,10.21,0.83,8.95,0.0,0.09,0.1287
89a8acc6e07ffff,-22.41684225668039,-45.44228498294237,0.85,2.3,0.0,0.34,0.04,13.34,12.4,0.24,10.52,0.0,0.0,0.1565
89a8acc6e33ffff,-22.415169569219433,-45.44530249362364,0.69,9.58,0.0,0.32,0.42,37.38,17.26,0.53,7.5,0.0,0.27,0.2228
89a8acc6e37ffff,-22.413496804440733,-45.44831997005217,0.48,31.21,0.0,1.46,0.96,52.44,21.41,1.14,6.03,0.0,0.86,0.3552
89a8acc68cbffff,-22.4118239623585,-45.451337412211785,0.12,28.25,0.0,1.68,0.66,41.46,24.28,2.08,4.42,0.0,0.89,0.3407
89a8acc68cfffff,-22.41015104298696,-45.454354820086344,0.32,2.31,0.0,0.17,0.12,4.79,3.13,0.26,7.13,0.0,0.2,0.0927
89a8acc68c7ffff,-22.411590812382368,-45.45745693327567,0.31,0.83,0.0,0.04,0.02,0.9,2.56,0.16,4.62,0.0,0.08,0.0471
89a8acc688bffff,-22.413030490186536,-45.460559040961236,0.82,1.39,0.0,0.27,0.0,0.21,1.3,0.0,5.71,0.03,0.87,0.1122
89a8acc6883ffff,-22.414470076390096,-45.46366114312489,0.2,1.81,0.0,0.18,0.0,0.13,0.44,0.0,4.97,0.0,1.08,0.111
89a8acc6897ffff,-22.415909570983633,-45.46676323974845,0.18,1.83,0.0,0.19,0.0,0.14,0.22,0.0,9.33,0.0,1.1,0.1515
89a8acc6d5bffff,-22.41734897395779,-45.46986533081375,0.0,0.89,0.0,0.49,0.0,3.22,0.13,0.0,5.27,0.0,0.33,0.065
