source_h3_id,target_h3_id,source_node_id,target_node_id,time_min,alpha_20,profile_key
89a8ac89227ffff,89a8ac89227ffff,4471899907,4471899907,2.2187,0.969941,elderly
89a8ac89227ffff,89a8ac8922fffff,4471899907,4032034265,18.8804,0.007712,elderly
89a8ac89227ffff,89a8ac89343ffff,4471899907,4471973406,17.435,0.040038,elderly
89a8ac89227ffff,89a8ac89353ffff,4471899907,3005630750,12.5463,0.305301,elderly
89a8ac89227ffff,89a8ac8935bffff,4471899907,3874217941,11.6802,0.369561,elderly
89a8ac8922bffff,89a8ac8922bffff,4471899904,4471899904,9.0757,0.572343,elderly
89a8ac8922bffff,89a8ac8922fffff,4471899904,4032034265,7.2953,0.706092,elderly
89a8ac8922bffff,89a8ac8935bffff,4471899904,3874217941,19.1381,0.004575,elderly
89a8ac8922bffff,89a8acc6c97ffff,4471899904,2332075036,18.5604,0.012729,elderly
89a8ac8922fffff,89a8ac89227ffff,4032034265,4471899907,16.3071,0.081788,elderly
89a8ac8922fffff,89a8ac8922bffff,4032034265,4471899904,7.9281,0.65987,elderly
89a8ac8922fffff,89a8ac8922fffff,4032034265,4032034265,0.1902,0.999777,elderly
89a8ac8922fffff,89a8ac8935bffff,4032034265,3874217941,12.033,0.34303,elderly
89a8ac8922fffff,89a8acc6c83ffff,4032034265,3874217907,17.9873,0.024781,elderly
89a8ac8922fffff,89a8acc6c97ffff,4032034265,2332075036,13.8622,0.214929,elderly
89a8ac89263ffff,89a8ac89263ffff,3874217829,3874217829,7.0821,0.721233,elderly
89a8ac89263ffff,89a8ac8926bffff,3874217829,3874217830,8.2355,0.636814,elderly
89a8ac89263ffff,89a8ac8926fffff,3874217829,4451110980,11.6533,0.371604,elderly
89a8ac89263ffff,89a8acc61b7ffff,3874217829,3874217822,17.9076,0.026764,elderly
89a8ac89263ffff,89a8acc6cd7ffff,3874217829,3398798243,18.4975,0.013861,elderly
89a8ac89267ffff,89a8ac89267ffff,3411230702,3411230702,4.3011,0.890161,elderly
89a8ac89267ffff,89a8acc6c93ffff,3411230702,3411230699,15.2781,0.131342,elderly
89a8ac89267ffff,89a8acc6c9bffff,3411230702,3219028043,19.8719,0.000101,elderly
89a8ac89267ffff,89a8acc6cd7ffff,3411230702,3398798243,19.7256,0.000464,elderly
89a8ac8926bffff,89a8ac89263ffff,3874217830,3874217829,9.7611,0.518756,elderly
89a8ac8926bffff,89a8ac8926bffff,3874217830,3874217830,2.0285,0.974833,elderly
89a8ac8926bffff,89a8ac8926fffff,3874217830,4451110980,7.9828,0.655795,elderly
89a8ac8926bffff,89a8acc61b7ffff,3874217830,3874217822,11.7005,0.368023,elderly
89a8ac8926bffff,89a8acc6cc3ffff,3874217830,3107402660,19.9463,1.8e-05,elderly
89a8ac8926bffff,89a8acc6cd7ffff,3874217830,3398798243,14.827,0.156185,elderly
89a8ac8926fffff,89a8ac89263ffff,4451110980,3874217829,14.8311,0.155949,elderly
89a8ac8926fffff,89a8ac8926bffff,4451110980,3874217830,9.9322,0.505328,elderly
89a8ac8926fffff,89a8ac8926fffff,4451110980,4451110980,0.4217,0.998903,elderly
89a8ac8926fffff,89a8acc61b7ffff,4451110980,3874217822,19.6042,0.000966,elderly
89a8ac8926fffff,89a8acc6cc3ffff,4451110980,3107402660,19.1728,0.004215,elderly
89a8ac8926fffff,89a8acc6cd7ffff,4451110980,3398798243,14.0534,0.202724,elderly
89a8ac89343ffff,89a8ac89343ffff,4471973406,4471973406,3.3354,0.932933,elderly
