h3_id,latitude,longitude,S_saude,S_educacao,S_abastecimento,S_lazer,S_servicos,I_seguranca,A_vegetacao,A_agua,C_conectividade,T_transporte,U_urbanidade,IQC
89a8acc6c47ffff,-22.425713538241478,-45.45477845629558,7.31,1.63,0.68,3.88,4.95,3.75,1.88,0.0,5.62,0.11,0.01,0.3426
89a8acc6c43ffff,-22.427386219168735,-45.4517609784118,5.36,3.39,0.63,3.23,4.07,2.76,3.87,0.0,5.05,0.0,0.64,0.3315
89a8acc6c4fffff,-22.424273987173162,-45.451676263545316,7.65,3.87,1.19,5.76,6.85,2.43,6.63,0.0,6.34,0.0,0.34,0.4612
89a8acc6c7bffff,-22.422601258542908,-45.45469372742703,6.61,1.25,0.89,3.23,7.76,1.11,6.62,0.0,6.13,0.04,0.0,0.3736
89a8acc6c73ffff,-22.424040779985422,-45.45779589987419,4.95,1.8,0.79,3.47,4.12,4.65,4.53,0.0,7.21,0.68,0.06,0.4089
89a8acc6c0bffff,-22.42715299768197,-45.45788064355752,2.14,1.22,0.38,2.04,1.68,2.1,1.03,0.0,3.47,0.09,0.0,0.1562
89a8acc6c57ffff,-22.428825708238687,-45.454863185977516,4.94,1.46,0.31,2.79,1.41,2.08,0.71,0.0,4.6,0.0,0.0,0.2086
89a8acc6c53ffff,-22.430498341455884,-45.45184569409153,1.42,7.33,0.07,1.58,2.23,2.06,3.7,0.0,3.34,0.0,0.58,0.1839
89a8acc6c5bffff,-22.42905882275296,-45.448743466238966,1.0,13.44,0.47,2.66,2.12,1.17,7.6,0.0,3.04,0.0,0.28,0.2085
89a8acc6c4bffff,-22.425946638471135,-45.44865876537536,5.02,6.52,1.82,6.11,2.83,3.12,10.2,0.0,6.06,0.0,0.56,0.4555
89a8acc6eb3ffff,-22.422834344486404,-45.4485740653249,2.15,1.44,0.17,2.41,1.44,0.32,12.11,0.0,3.25,0.0,0.01,0.1638
89a8acc6eb7ffff,-22.421161645481757,-45.45159154949209,7.69,2.37,0.33,4.22,5.52,0.28,9.48,0.0,5.46,0.0,0.0,0.3425
89a8acc6c6bffff,-22.419488869155586,-45.45460899937183,4.77,0.17,0.21,0.66,3.94,0.22,6.39,0.0,3.78,0.0,0.0,0.1884
89a8acc6c63ffff,-22.42092845259461,-45.45771115700435,1.38,0.5,0.0,0.52,0.3,2.09,7.04,0.0,4.25,0.39,0.19,0.1688
89a8acc6c77ffff,-22.422367944414805,-45.46081330913146,1.14,1.78,0.39,1.56,0.88,4.79,3.69,0.0,5.28,0.83,0.61,0.2993
89a8acc6c0fffff,-22.425480209799918,-45.46089806681541,1.42,1.62,1.2,3.12,3.18,9.23,2.69,0.0,6.67,0.8,0.33,0.3943
89a8acc6c03ffff,-22.428592365485237,-45.460982825312975,0.1,1.0,1.38,1.32,3.08,4.64,2.56,0.0,3.96,0.22,0.0,0.2149
89a8acc6c1bffff,-22.430265105671634,-45.45796538805437,1.65,1.25,0.91,2.38,0.35,1.06,0.36,0.0,5.96,0.0,0.0,0.2094
89a8acc6ccfffff,-22.43193776852198,-45.45494791647284,2.34,1.29,0.66,2.38,0.28,1.04,0.62,0.0,5.39,0.0,0.0,0.1933
89a8acc6ccbffff,-22.43361035402204,-45.451930410584545,0.0,0.31,0.0,0.84,0.0,0.0,2.74,0.0,5.28,0.0,0.0,0.108
89a8acc6127ffff,-22.432170897319324,-45.44882816791572,0.85,1.61,0.23,1.34,0.25,0.85,17.37,0.0,2.62,0.0,0.0,0.1264
89a8acc612fffff,-22.430731348979965,-45.445725919793276,0.0,0.0,0.0,0.0,0.0,0.0,17.73,0.0,1.78,0.0,0.0,0.0621
89a8acc6e97ffff,-22.4276192124226,-45.44564123293335,3.69,7.76,1.67,5.79,1.49,2.0,15.33,0.0,5.03,0.0,0.27,0.3873
89a8acc6e87ffff,-22.424506966155274,-45.44555654688642,2.99,2.26,1.44,3.62,0.64,1.36,15.98,0.0,3.58,0.0,0.17,0.2791
89a8acc6ebbffff,-22.421394610190585,-45.44547186165251,0.68,0.89,0.0,2.51,0.19,0.0,15.59,0.0,4.86,0.0,0.0,0.168
89a8acc6ea3ffff,-22.419721940811364,-45.44848936608755,2.49,2.35,0.0,2.52,1.04,4.3,13.99,0.0,5.85,0.0,0.0,0.2231
89a8acc6ea7ffff,-22.418049194107123,-45.45150683625209,0.96,0.05,0.0,0.0,0.41,0.0,4.57,0.03,2.34,0.0,0.0,0.0545
89a8acc68d3ffff,-22.416376370092078,-45.454524272129994,2.29,0.97,0.0,0.02,0.56,0.14,5.85,0.03,4.6,0.0,0.07,0.1307
89a8acc6c6fffff,-22.417816015522092,-45.45762641494799,0.11,0.01,0.0,0.0,0.0,0.0,8.36,0.0,2.4,0.01,0.0,0.0524
89a8acc6c67ffff,-22.419255569342475,-45.46072855226112,1.93,1.09,0.0,0.19,0.04,0.14,4.24,0.0,4.85,0.27,0.57,0.1887
89a8acc6c2bffff,-22.42069503154384,-45.46383068405124,0.03,2.98,0.02,1.54,0.09,2.75,1.24,0.0,5.34,0.33,1.46,0.268
89a8acc6c3bffff,-22.4238073446068,-45.463915455735,0.06,1.53,0.9,1.99,1.29,7.02,2.24,0.0,5.76,0.59,0.65,0.309
89a8acc6c07ffff,-22.42691954797702,-45.4640002282325,0.0,0.7,1.23,0.75,2.29,6.27,3.45,0.0,4.33,0.09,0.0,0.1893
89a8acc6c17ffff,-22.430031641641918,-45.464085001543744,0.0,0.36,0.49,0.57,1.2,0.71,1.08,0.0,6.09,0.0,0.0,0.1536
89a8acc6c13ffff,-22.431704411458167,-45.46106758462417,0.0,0.36,0.32,0.68,0.35,0.22,0.58,0.0,4.87,0.0,0.0,0.1111
89a8acc6cc7ffff,-22.43337710394185,-45.45805013336472,0.13,1.42,0.76,1.37,0.0,0.56,0.42,0.0,6.47,0.0,0.0,0.1771
89a8acc6cc3ffff,-22.43504971907875,-45.45503264778156,0.33,0.94,0.2,1.32,0.0,0.29,1.21,0.0,6.73,0.0,0.0,0.1569
89a8acc6cdbffff,-22.436722256854633,-45.45201512789083,0.0,0.24,0.0,0.78,0.0,0.0,2.11,0.0,4.55,0.0,0.0,0.09
89a8acc6137ffff,-22.435282862157624,-45.44891287040562,0.0,0.31,0.0,0.84,0.0,0.0,2.74,0.0,5.28,0.0,0.0,0.108
89a8acc6123ffff,-22.433843375814785,-45.44581060746624,0.0,0.0,0.0,0.1,0.0,0.0,17.78,0.0,2.04,0.0,0.0,0.0691
89a8acc612bffff,-22.432403797835516,-45.44270833909086,0.04,0.32,0.04,1.38,0.55,0.31,10.38,0.0,4.91,0.0,0.0,0.1362
89a8acc6e93ffff,-22.42929170901335,-45.44262366623539,1.63,3.43,0.4,2.74,1.49,1.06,20.43,0.0,4.07,0.0,0.0,0.2186
89a8acc6e83ffff,-22.426179510474174,-45.442538994192816,2.62,2.16,0.78,3.25,0.81,1.2,29.98,0.0,5.18,0.0,0.02,0.2976
89a8acc6e8fffff,-22.423067202230566,-45.44245432296313,1.01,0.23,0.27,1.1,0.09,0.33,27.14,0.0,5.29,0.0,0.0,0.2037
89a8acc6e17ffff,-22.419954784295104,-45.44236965254631,0.29,0.27,0.0,0.09,0.0,0.0,13.4,0.0,5.68,0.0,0.0,0.1379
89a8acc6eabffff,-22.418282144541106,-45.44538717723158,0.94,2.96,0.0,0.2,0.04,19.22,17.59,0.0,4.28,0.0,0.0,0.1592
89a8acc6eafffff,-22.416609427458617,-45.44840466766331,0.13,3.28,0.0,0.19,0.13,18.79,16.27,0.1,3.07,0.0,0.25,0.1412
89a8acc68dbffff,-22.41493663306183,-45.45142212382533,0.66,8.94,0.0,0.58,0.45,20.05,12.46,0.44,4.32,0.0,0.53,0.2121
89a8acc68c3ffff,-22.413263761365013,-45.454439545701504,0.12,0.5,0.0,0.0,0.0,0.0,2.67,0.2,3.62,0.0,0.0,0.0656
89a8acc68d7ffff,-22.414703468780484,-45.457541673705094,0.97,0.29,0.0,0.0,0.14,0.0,6.38,0.01,4.06,0.0,0.0,0.0935
89a8acc689bffff,-22.41614308459552,-45.460643796204394,0.53,0.16,0.0,0.0,0.0,0.0,0.67,0.0,3.15,0.0,0.15,0.0632
89a8acc6893ffff,-22.417582608800735,-45.46374591318121,0.33,2.63,0.0,0.27,0.0,0.07,0.55,0.0,4.97,0.0,1.41,0.2018
89a8acc6c2fffff,-22.419022041386757,-45.466848024617384,0.0,2.63,0.0,0.36,0.0,1.38,0.6,0.0,3.99,0.0,1.06,0.1543
89a8acc6c23ffff,-22.422134402116807,-45.466932810300165,0.0,1.78,0.0,1.15,0.0,5.32,0.82,0.0,5.75,0.0,0.67,0.1767
89a8acc6c33ffff,-22.425246653161196,-45.4670175967968,0.0,0.02,0.0,0.46,0.0,4.75,1.67,0.0,4.94,0.0,0.07,0.103
89a8acc6cabffff,-22.42835879450733,-45.4671023841073,0.0,0.0,0.0,0.05,0.04,0.65,0.37,0.0,4.71,0.0,0.0,0.0792
