h3_id,latitude,longitude,S_saude,S_educacao,S_abastecimento,S_lazer,S_servicos,I_seguranca,A_vegetacao,A_agua,C_conectividade,T_transporte,U_urbanidade,IQC
89a8100c4bbffff,-23.58362232945688,-46.63589156976184,10.13,7.87,13.68,26.86,30.42,626.11,2.64,0.09,17.39,7.39,0.57,0.3644
89a8100c48fffff,-23.585296575700795,-46.63288014751936,6.17,5.14,8.15,15.54,17.8,572.93,3.67,0.18,17.39,4.95,0.22,0.2781
89a8100c417ffff,-23.582231128536783,-46.632789742753666,1.86,1.95,2.62,9.03,6.85,234.57,8.28,0.77,9.37,1.88,0.86,0.1594
89a8100c4abffff,-23.580556834568903,-46.63580115124244,10.63,5.42,13.38,27.16,24.88,491.43,3.66,0.33,11.36,6.37,2.29,0.3378
89a8100c4a3ffff,-23.581948005136578,-46.638902951219585,16.59,9.38,19.34,37.59,38.0,670.53,2.29,0.09,16.73,9.16,1.7,0.4584
89a8100c4b3ffff,-23.58501343374518,-46.63899338435459,7.67,3.23,8.26,15.22,14.47,251.79,1.11,0.0,6.56,3.6,0.26,0.1623
89a8100c487ffff,-23.58668771034516,-46.635981989143914,9.89,10.56,13.57,24.1,31.06,706.86,1.73,0.0,19.0,8.2,0.18,0.387
89a8100c483ffff,-23.588361908858406,-46.632970553147615,9.52,8.83,11.79,18.95,23.84,853.4,2.26,0.0,21.91,7.87,0.01,0.3854
89a8100c48bffff,-23.58697074385401,-46.62986868450794,4.97,3.07,6.59,10.91,10.76,510.25,3.93,0.17,16.22,3.77,0.18,0.2281
89a8100c413ffff,-23.583905344424327,-46.629778293496834,3.87,2.74,4.97,11.86,9.61,355.54,6.81,0.56,13.85,2.53,0.96,0.2154
89a8100c403ffff,-23.580839830992765,-46.62968790334816,3.83,2.76,4.24,12.74,7.63,266.23,10.96,1.11,11.92,1.58,2.45,0.2423
89a8100c407ffff,-23.579165567377597,-46.63269933885052,2.91,1.37,6.1,13.27,6.71,214.3,7.73,0.88,4.57,1.87,1.71,0.168
89a8100c433ffff,-23.57749122569243,-46.635710733585704,8.92,4.03,12.2,24.05,18.52,411.26,9.75,1.22,9.95,4.38,5.26,0.386
89a8100c4afffff,-23.578882462534974,-46.63881251894736,16.17,9.21,17.36,35.88,33.52,570.47,3.46,0.25,13.25,8.07,3.03,0.4428
89a8100c4a7ffff,-23.580273602754175,-46.64191429187679,12.8,6.28,12.76,25.89,25.22,392.18,1.59,0.0,9.32,5.88,0.68,0.2776
