h3_id,latitude,longitude,S_saude,S_educacao,S_abastecimento,S_lazer,S_servicos,I_seguranca,A_vegetacao,A_agua,C_conectividade,T_transporte,U_urbanidade,IQC
89a8100c4bbffff,-23.58362232945688,-46.63589156976184,5.2,3.72,6.8,14.2,17.99,373.94,2.11,0.0,11.01,4.5,0.08,0.3031
89a8100c48fffff,-23.585296575700795,-46.63288014751936,3.1,1.97,4.16,7.73,9.08,304.96,2.73,0.01,10.88,2.04,0.02,0.2169
89a8100c417ffff,-23.582231128536783,-46.632789742753666,0.35,1.01,0.77,3.79,1.85,110.74,6.68,0.46,5.75,0.53,0.19,0.0962
89a8100c4abffff,-23.580556834568903,-46.63580115124244,6.26,3.59,8.34,16.72,14.87,311.8,2.07,0.06,7.09,4.97,1.32,0.3031
89a8100c4a3ffff,-23.581948005136578,-46.638902951219585,11.69,5.7,13.36,26.41,27.2,468.89,1.6,0.0,11.26,6.78,0.91,0.4646
89a8100c4b3ffff,-23.58501343374518,-46.63899338435459,5.32,1.79,5.53,8.9,8.2,137.67,0.69,0.0,4.14,2.16,0.01,0.1522
89a8100c487ffff,-23.58668771034516,-46.635981989143914,4.74,5.32,7.24,10.94,19.47,405.82,1.66,0.0,11.33,5.12,0.0,0.3287
89a8100c483ffff,-23.588361908858406,-46.632970553147615,5.24,4.3,7.22,9.62,14.89,558.84,2.29,0.0,14.81,5.17,0.0,0.3683
89a8100c48bffff,-23.58697074385401,-46.62986868450794,2.68,0.93,3.91,5.52,5.77,292.8,2.99,0.0,9.98,1.71,0.01,0.1863
89a8100c413ffff,-23.583905344424327,-46.629778293496834,1.78,1.19,2.68,6.51,4.24,194.99,5.38,0.35,8.63,0.81,0.21,0.1579
89a8100c403ffff,-23.580839830992765,-46.62968790334816,1.04,1.75,1.76,7.12,2.94,137.19,11.51,1.22,7.34,0.95,0.91,0.1725
89a8100c407ffff,-23.579165567377597,-46.63269933885052,1.22,0.48,3.97,8.68,2.69,136.01,4.34,0.12,2.71,0.64,0.43,0.0994
89a8100c433ffff,-23.57749122569243,-46.635710733585704,5.06,2.43,7.52,14.58,9.43,261.02,9.56,1.35,5.96,2.92,3.74,0.3277
89a8100c4afffff,-23.578882462534974,-46.63881251894736,8.98,5.82,11.0,21.48,21.44,353.34,1.98,0.03,7.77,5.1,1.49,0.3841
89a8100c4a7ffff,-23.580273602754175,-46.64191429187679,8.9,3.78,8.37,17.26,17.0,243.19,1.32,0.0,5.52,3.66,0.08,0.2634
89a8100c4b7ffff,-23.583339079072747,-46.64200473876385,8.38,2.81,7.63,14.3,13.75,218.27,1.05,0.0,5.64,3.62,0.14,0.237
89a8100e34fffff,-23.58640444139378,-46.64209518651382,3.06,1.11,4.12,5.8,5.63,121.13,0.93,0.0,3.95,0.98,0.0,0.1098
89a8100e34bffff,-23.588078748349545,-46.6390838183524,4.06,6.95,5.95,8.99,16.48,310.72,0.83,0.0,9.21,3.43,0.0,0.2872
89a8100c497ffff,-23.589752977222524,-46.63607240938867,5.41,8.18,7.75,10.75,15.24,556.97,1.83,0.0,12.72,6.37,0.0,0.4037
89a8100c493ffff,-23.591427127998422,-46.633060959638435,3.72,3.9,3.88,5.65,4.99,403.57,2.58,0.0,9.06,2.62,0.0,0.2368
89a8100c49bffff,-23.590036029270628,-46.6299590763815,4.26,0.95,3.22,4.23,5.31,450.9,3.02,0.0,11.03,1.98,0.0,0.2231
89a8100c4d7ffff,-23.588644833902258,-46.62685718074341,2.57,0.8,3.02,3.23,2.42,240.36,2.49,0.0,7.79,0.53,0.0,0.1404
89a8100c4c7ffff,-23.585579482217238,-46.626766803487776,1.04,1.2,1.76,1.07,0.7,122.64,2.46,0.0,5.71,0.46,0.0,0.0884
89a8100c41bffff,-23.582514016523664,-46.62667642709446,4.75,2.91,6.08,11.37,6.39,206.23,4.38,0.12,12.83,1.35,0.2,0.2507
89a8100c40bffff,-23.57944843683275,-46.62658605156347,3.78,2.95,4.81,12.29,6.18,174.55,10.93,0.78,9.58,1.46,1.13,0.247
89a8100c40fffff,-23.577774203570563,-46.62959751406193,1.66,2.51,1.99,9.14,4.59,163.58,19.61,2.25,7.31,1.0,3.02,0.264
89a8100c43bffff,-23.57609989223445,-46.63260893580992,4.07,1.22,6.31,13.73,7.06,225.39,13.86,1.98,5.24,1.43,3.74,0.2982
89a8100c423ffff,-23.57442550283869,-46.6356203167916,4.49,1.01,5.32,10.04,6.62,202.15,11.85,1.78,4.8,1.24,3.39,0.2654
89a8100c437ffff,-23.57581680595156,-46.63872208753791,6.16,5.84,7.86,14.92,14.26,281.24,3.25,0.17,6.14,2.18,1.96,0.3108
89a8100c5dbffff,-23.577208012449287,-46.6418238458526,15.17,7.55,13.67,32.51,31.49,496.27,2.26,0.0,11.46,7.41,1.47,0.5316
89a8100c5d3ffff,-23.578599122323975,-46.64492559171763,7.57,2.73,5.89,14.38,10.94,214.38,2.39,0.02,7.1,3.72,0.0,0.2272
89a8100e36bffff,-23.581664646342166,-46.64501605235587,4.68,3.19,6.19,12.77,7.41,156.86,1.34,0.02,8.15,3.97,0.53,0.2253
89a8100e37bffff,-23.58473005636952,-46.64510651385712,2.71,4.17,6.21,11.52,9.16,145.35,1.48,0.02,8.85,2.12,1.94,0.2498
89a8100e347ffff,-23.58779535239481,-46.6451969762214,2.46,6.79,5.94,13.34,14.74,222.85,2.93,0.02,10.47,2.13,1.73,0.3047
89a8100e343ffff,-23.589469689706068,-46.6421856351267,2.79,5.14,5.16,10.61,13.46,216.08,0.48,0.0,8.21,1.72,0.23,0.2274
89a8100e35bffff,-23.591143948938484,-46.639174253213,4.37,6.62,4.33,7.92,11.39,381.38,0.71,0.0,8.67,3.14,0.0,0.2737
89a8100e22fffff,-23.59281813007777,-46.63616283049612,6.4,9.93,7.14,14.0,13.14,607.68,1.62,0.0,12.47,7.29,0.0,0.4336
89a8100e22bffff,-23.59449223310963,-46.63315136699184,3.32,6.63,3.84,6.43,3.59,337.72,1.95,0.0,7.46,2.23,0.0,0.2366
89a8100e267ffff,-23.59310120066294,-46.630049469117516,3.94,1.09,2.02,3.03,2.08,360.83,3.13,0.0,7.86,0.78,0.0,0.1646
89a8100e26fffff,-23.59171007156753,-46.62694755886139,2.28,0.07,0.73,1.5,1.65,254.42,3.8,0.0,4.96,0.56,0.0,0.0944
89a8100c4d3ffff,-23.59031884583126,-46.623845636241576,2.95,0.78,2.64,1.78,3.02,236.46,2.98,0.0,5.85,0.59,0.0,0.1235
89a8100c4c3ffff,-23.587253541901248,-46.62375527274228,1.66,1.5,3.4,2.11,1.81,161.85,2.34,0.0,7.24,0.77,0.0,0.1282
89a8100c4cfffff,-23.58418812395599,-46.62366491010521,2.38,1.82,4.06,3.15,2.19,160.52,2.34,0.0,8.86,1.14,0.0,0.1548
89a8100c457ffff,-23.5811225920067,-46.62357454833034,4.71,2.28,6.43,9.3,6.92,160.71,3.15,0.01,12.23,0.94,0.08,0.2249
89a8100c447ffff,-23.5780569460646,-46.62348418741766,5.46,3.72,8.64,13.53,10.9,206.63,5.79,0.22,13.81,1.01,0.79,0.3084
89a8100c473ffff,-23.576382743155712,-46.62649567689477,4.6,4.57,7.48,14.47,10.21,226.48,12.15,0.98,12.05,1.7,3.4,0.3714
89a8100c477ffff,-23.574708462168932,-46.6295071256381,3.96,2.29,4.05,12.11,8.45,219.28,23.11,2.78,7.82,1.19,5.69,0.374
89a8100c42bffff,-23.57303410311856,-46.632518533631824,6.58,1.61,7.44,12.64,11.67,204.74,20.17,2.78,6.51,0.85,5.65,0.389
89a8100c42fffff,-23.571359666018907,-46.63552990086014,4.56,1.45,5.77,6.81,7.74,128.44,18.16,2.88,3.78,0.31,2.85,0.2672
89a8100c427ffff,-23.572751035397584,-46.638631656991194,5.22,5.66,3.01,8.17,7.15,163.24,2.28,0.0,4.6,0.31,1.32,0.1981
89a8100c5cbffff,-23.574142308169296,-46.641733400691315,16.32,8.23,9.66,40.68,39.62,496.03,3.81,0.0,10.43,6.85,2.63,0.5427
