h3_id,latitude,longitude,S_saude,S_educacao,S_abastecimento,S_lazer,S_servicos,I_seguranca,A_vegetacao,A_agua,C_conectividade,T_transporte,U_urbanidade,IQC
89a8100c4bbffff,-23.58362232945688,-46.63589156976184,1.07,0.42,1.2,4.4,6.4,159.95,2.04,0.0,5.43,1.87,0.0,0.1901
89a8100c48fffff,-23.585296575700795,-46.63288014751936,1.67,0.23,1.75,3.23,3.34,128.42,2.04,0.0,5.18,0.19,0.0,0.1618
89a8100c417ffff,-23.582231128536783,-46.632789742753666,0.0,0.5,0.28,1.17,0.22,52.73,4.31,0.0,3.69,0.02,0.0,0.0775
89a8100c4abffff,-23.580556834568903,-46.63580115124244,2.36,2.48,3.26,7.15,6.07,135.09,1.46,0.0,2.93,2.93,0.69,0.2395
89a8100c4a3ffff,-23.581948005136578,-46.638902951219585,8.1,3.51,7.82,15.33,17.68,248.83,1.25,0.0,6.21,5.32,0.28,0.4988
89a8100c4b3ffff,-23.58501343374518,-46.63899338435459,2.43,0.41,3.23,3.28,2.35,60.31,0.46,0.0,2.19,0.59,0.0,0.122
89a8100c487ffff,-23.58668771034516,-46.635981989143914,1.1,2.03,2.64,3.2,8.19,164.24,1.78,0.0,4.95,1.83,0.0,0.2323
89a8100c483ffff,-23.588361908858406,-46.632970553147615,2.14,1.62,4.46,3.52,8.81,297.71,2.79,0.0,7.85,3.24,0.0,0.3619
89a8100c48bffff,-23.58697074385401,-46.62986868450794,0.98,0.04,1.91,1.61,2.59,119.57,2.35,0.0,4.47,0.15,0.0,0.138
89a8100c413ffff,-23.583905344424327,-46.629778293496834,0.29,0.46,0.84,1.39,1.14,71.84,3.05,0.0,4.76,0.01,0.0,0.1105
89a8100c403ffff,-23.580839830992765,-46.62968790334816,0.02,1.22,0.76,3.67,0.86,79.39,6.87,0.33,4.8,0.33,0.17,0.1408
89a8100c407ffff,-23.579165567377597,-46.63269933885052,0.15,0.0,1.86,4.05,1.26,90.46,5.06,0.0,1.75,0.01,0.0,0.0814
89a8100c433ffff,-23.57749122569243,-46.635710733585704,2.81,1.29,4.48,6.41,3.45,144.7,3.81,0.4,3.3,1.88,2.07,0.2654
89a8100c4afffff,-23.578882462534974,-46.63881251894736,2.33,2.03,4.38,8.62,9.83,160.84,1.68,0.0,3.48,1.69,0.58,0.2618
89a8100c4a7ffff,-23.580273602754175,-46.64191429187679,6.09,2.16,4.25,10.26,7.91,102.1,0.83,0.0,2.61,1.84,0.0,0.2447
89a8100c4b7ffff,-23.583339079072747,-46.64200473876385,6.2,0.77,4.67,7.71,6.78,123.98,0.71,0.0,3.1,1.85,0.0,0.2365
89a8100e34fffff,-23.58640444139378,-46.64209518651382,0.95,0.99,2.7,3.04,1.85,39.92,0.25,0.0,2.14,0.01,0.0,0.0999
89a8100e34bffff,-23.588078748349545,-46.6390838183524,2.07,4.24,2.56,2.38,7.79,94.36,0.69,0.0,3.71,0.71,0.0,0.2198
89a8100c497ffff,-23.589752977222524,-46.63607240938867,2.17,3.6,4.43,3.35,7.8,262.89,1.83,0.0,5.81,4.18,0.0,0.3565
89a8100c493ffff,-23.591427127998422,-46.633060959638435,1.33,0.75,0.9,2.22,0.78,142.57,2.74,0.0,4.17,0.43,0.0,0.141
89a8100c49bffff,-23.590036029270628,-46.6299590763815,2.33,0.1,0.75,1.76,1.27,232.37,3.88,0.0,5.36,0.33,0.0,0.1831
89a8100c4d7ffff,-23.588644833902258,-46.62685718074341,0.75,0.26,0.59,1.53,0.34,92.58,2.14,0.0,3.88,0.03,0.0,0.0976
89a8100c4c7ffff,-23.585579482217238,-46.626766803487776,0.01,0.36,0.25,0.13,0.05,44.76,2.71,0.0,3.29,0.07,0.0,0.0628
89a8100c41bffff,-23.582514016523664,-46.62667642709446,2.93,1.19,2.58,5.19,2.62,96.59,2.45,0.0,6.34,1.0,0.0,0.2153
89a8100c40bffff,-23.57944843683275,-46.62658605156347,1.73,0.94,1.59,7.1,1.64,88.63,9.06,0.13,4.19,0.54,0.17,0.161
89a8100c40fffff,-23.577774203570563,-46.62959751406193,0.03,1.68,0.96,5.99,1.72,71.27,23.08,2.79,3.99,0.81,0.81,0.2091
89a8100c43bffff,-23.57609989223445,-46.63260893580992,1.44,0.18,3.45,7.7,2.73,124.49,8.56,1.16,2.55,0.53,1.05,0.1914
89a8100c423ffff,-23.57442550283869,-46.6356203167916,1.69,0.05,2.89,3.7,2.47,90.24,7.21,1.06,2.12,0.61,1.28,0.1604
89a8100c437ffff,-23.57581680595156,-46.63872208753791,2.46,1.67,2.46,4.16,3.51,119.38,1.35,0.0,2.78,0.11,0.23,0.1652
89a8100c5dbffff,-23.577208012449287,-46.6418238458526,5.72,2.83,7.1,15.11,16.29,229.76,2.29,0.0,5.54,2.82,0.08,0.4166
89a8100c5d3ffff,-23.578599122323975,-46.64492559171763,3.8,1.24,1.93,4.9,2.99,91.69,1.44,0.0,3.72,1.39,0.0,0.1731
89a8100e36bffff,-23.581664646342166,-46.64501605235587,1.6,0.99,2.47,3.65,2.21,65.82,0.31,0.0,4.22,2.56,0.0,0.1663
89a8100e37bffff,-23.58473005636952,-46.64510651385712,1.26,2.16,3.52,5.66,2.56,74.92,0.08,0.0,5.06,0.76,1.09,0.2213
89a8100e347ffff,-23.58779535239481,-46.6451969762214,1.32,3.33,3.1,8.79,9.28,110.78,0.29,0.0,6.06,0.88,0.73,0.2763
89a8100e343ffff,-23.589469689706068,-46.6421856351267,1.13,1.61,2.42,6.04,7.68,87.4,0.19,0.0,3.83,0.92,0.0,0.174
89a8100e35bffff,-23.591143948938484,-46.639174253213,1.87,1.86,1.35,1.86,2.87,160.58,0.42,0.0,4.05,0.69,0.0,0.1772
89a8100e22fffff,-23.59281813007777,-46.63616283049612,3.4,4.96,3.14,7.83,6.36,309.37,0.76,0.0,5.89,4.09,0.0,0.3883
89a8100e22bffff,-23.59449223310963,-46.63315136699184,0.64,3.72,1.03,2.68,0.63,100.75,3.41,0.0,2.44,0.29,0.0,0.1468
89a8100e267ffff,-23.59310120066294,-46.630049469117516,2.4,0.82,1.03,1.37,0.19,169.59,2.59,0.0,4.07,0.15,0.0,0.1534
89a8100e26fffff,-23.59171007156753,-46.62694755886139,0.2,0.0,0.0,0.26,0.27,120.56,3.77,0.0,2.01,0.22,0.0,0.062
89a8100c4d3ffff,-23.59031884583126,-46.623845636241576,0.99,0.18,0.75,0.26,0.64,95.41,1.82,0.0,2.37,0.02,0.0,0.0756
89a8100c4c3ffff,-23.587253541901248,-46.62375527274228,0.23,0.72,1.35,0.39,0.29,76.77,1.89,0.0,4.17,0.5,0.0,0.1138
89a8100c4cfffff,-23.58418812395599,-46.62366491010521,0.83,1.06,1.12,0.49,0.24,61.89,3.03,0.0,4.12,0.47,0.0,0.1157
89a8100c457ffff,-23.5811225920067,-46.62357454833034,2.87,0.95,2.4,4.03,2.6,72.23,1.78,0.0,5.78,0.45,0.0,0.1844
89a8100c447ffff,-23.5780569460646,-46.62348418741766,4.26,1.83,5.87,8.06,6.97,102.05,3.68,0.01,7.07,0.13,0.07,0.3029
89a8100c473ffff,-23.576382743155712,-46.62649567689477,1.54,2.7,3.23,8.28,3.86,120.58,14.71,0.68,5.9,0.82,1.04,0.287
89a8100c477ffff,-23.574708462168932,-46.6295071256381,1.21,1.33,1.13,5.81,4.27,100.5,41.15,5.92,3.64,0.94,3.47,0.3344
89a8100c42bffff,-23.57303410311856,-46.632518533631824,4.24,0.75,3.65,6.09,8.4,105.66,31.19,5.2,2.87,0.14,3.46,0.3518
89a8100c42fffff,-23.571359666018907,-46.63552990086014,2.98,1.1,3.88,3.67,4.84,79.5,12.23,2.09,1.97,0.0,0.61,0.2028
89a8100c427ffff,-23.572751035397584,-46.638631656991194,1.92,3.42,0.54,0.75,0.93,43.94,1.33,0.0,1.42,0.0,0.26,0.107
89a8100c5cbffff,-23.574142308169296,-46.641733400691315,8.54,2.82,3.87,20.35,21.51,269.45,5.99,0.0,4.77,3.65,1.48,0.4459
89a8100c5c3ffff,-23.57553348432615,-46.644835131942386,10.79,2.48,5.6,23.19,15.95,256.99,2.9,0.0,6.37,3.77,0.11,0.4684
89a8100c5d7ffff,-23.576924563860256,-46.64793685072631,2.04,1.81,4.35,4.42,4.46,142.96,1.38,0.0,5.38,1.2,0.0,0.2474
89a8100e36fffff,-23.579990135567723,-46.648027325114846,1.8,1.05,2.34,6.18,3.98,76.01,2.14,0.05,3.72,0.74,0.0,0.1566
89a8100e363ffff,-23.58305559329104,-46.64811780036651,0.92,1.93,2.29,5.33,2.98,81.16,1.12,0.02,3.96,0.74,0.15,0.1677
89a8100e373ffff,-23.58612093701899,-46.6482082764813,1.36,2.9,2.13,4.98,4.59,92.91,2.08,0.03,5.62,0.23,2.65,0.2575
89a8100e30bffff,-23.58918616674037,-46.648298753459244,0.15,1.55,0.66,2.59,5.17,61.59,1.34,0.0,3.38,0.14,0.82,0.1242
89a8100e357ffff,-23.590860534406833,-46.645287439448715,0.0,3.13,1.08,2.76,5.64,119.87,2.31,0.0,4.01,0.94,0.0,0.179
89a8100e353ffff,-23.592534823998403,-46.642276084602514,0.74,2.7,1.44,2.7,3.4,202.03,1.29,0.0,4.44,1.3,0.0,0.2127
89a8100e227ffff,-23.594209035500786,-46.63926468893642,2.52,1.15,1.37,4.72,2.9,249.49,0.73,0.0,4.33,1.2,0.0,0.2126
89a8100e223ffff,-23.595883168899686,-46.63625325246627,3.69,6.08,3.64,9.04,7.26,333.64,1.03,0.0,6.09,4.26,0.0,0.4325
89a8100e23bffff,-23.597557224180836,-46.63324177520785,2.41,4.19,3.44,4.48,3.02,284.07,2.15,0.0,6.14,1.57,0.0,0.3356
89a8100e277ffff,-23.596166258019785,-46.630139862716,1.13,0.08,1.0,0.61,0.01,164.44,2.98,0.0,3.89,0.0,0.0,0.1248
89a8100e263ffff,-23.594775195201827,-46.62703793784171,2.6,0.1,1.46,1.11,1.44,236.35,3.12,0.0,5.25,0.45,0.0,0.1941
89a8100e26bffff,-23.593384035734843,-46.6239360006031,2.22,0.1,1.63,1.97,3.81,233.18,3.84,0.0,5.01,0.84,0.0,0.1994
89a8100f1a7ffff,-23.591992779626725,-46.62083405101824,3.43,0.95,4.15,3.36,6.33,169.04,3.47,0.0,5.13,0.44,0.0,0.2419
89a8100c4dbffff,-23.588927523462058,-46.620743701276176,1.71,1.58,4.17,1.35,2.27,112.78,1.6,0.0,3.93,0.8,0.0,0.1936
89a8100c4cbffff,-23.585862153275468,-46.620653352396225,0.22,0.74,2.45,0.6,0.71,73.81,1.98,0.0,3.8,0.83,0.0,0.1268
89a8100c453ffff,-23.582796669078146,-46.62056300437836,0.75,0.76,1.21,0.63,0.41,46.98,2.65,0.0,5.06,0.28,0.0,0.1199
89a8100c443ffff,-23.579731070881344,-46.620472657222585,1.14,0.15,0.94,1.48,1.4,32.76,2.17,0.0,4.72,0.0,0.0,0.0991
89a8100c44fffff,-23.576665358696253,-46.62038231092887,1.79,0.89,4.03,4.5,4.73,68.63,2.34,0.01,6.9,0.0,0.02,0.2173
89a8100c47bffff,-23.57499118614092,-46.62339382736717,1.98,2.57,6.33,6.39,9.5,124.31,9.16,0.51,7.1,0.43,0.96,0.347
89a8100c463ffff,-23.57331693550377,-46.62640530308837,1.22,0.99,1.67,1.91,3.05,97.27,17.45,1.19,4.72,0.93,2.17,0.2274
89a8100c467ffff,-23.571642606799085,-46.62941673807668,4.62,0.88,3.59,6.53,5.78,118.59,21.13,3.05,5.67,0.19,5.26,0.3894
89a8100c093ffff,-23.56996820004116,-46.63242813231626,6.16,0.94,5.11,15.24,7.91,113.28,4.65,0.63,5.36,0.0,0.79,0.3023
89a8100c097ffff,-23.5682937152443,-46.6354394857913,7.14,1.67,3.16,12.68,6.74,106.39,0.24,0.0,5.35,0.03,0.0,0.2579
89a8100c55bffff,-23.56968515088425,-46.638541227307236,3.43,1.21,0.49,5.54,2.76,79.52,1.95,0.0,3.33,0.88,0.03,0.137
89a8100c553ffff,-23.571076489925424,-46.641642956392886,1.03,0.04,0.1,1.56,2.35,115.99,7.17,0.0,3.03,0.01,0.03,0.0927
89a8100c5cfffff,-23.572467732359918,-46.64474467303014,11.9,3.83,5.7,35.04,29.87,272.76,4.45,0.0,5.04,5.77,0.81,0.5628
89a8100c5c7ffff,-23.573858878179852,-46.647846377200885,4.13,2.65,7.06,15.2,7.54,202.32,1.31,0.0,5.97,2.16,0.0,0.3741
89a8100c58bffff,-23.575249927377325,-46.650948068887025,1.21,0.66,3.49,6.7,4.03,97.89,1.33,0.0,4.05,2.49,0.0,0.189
89a8100c59bffff,-23.578315546763722,-46.65103855702498,1.14,1.06,3.22,4.27,5.5,96.49,3.28,0.01,4.99,1.77,0.0,0.2006
89a8100e367ffff,-23.58138105217266,-46.65112904602616,0.77,1.52,2.5,6.19,5.78,95.49,7.26,0.15,5.19,1.41,0.0,0.2049
89a8100e377ffff,-23.584446443592917,-46.65121953589059,1.0,0.47,0.44,1.42,0.21,35.94,12.03,0.22,2.74,0.07,1.86,0.11
89a8100e30fffff,-23.5875117210133,-46.651310026618276,0.34,0.94,0.26,0.07,0.46,16.83,35.47,0.46,3.1,0.45,0.93,0.1221
89a8100e303ffff,-23.590576884422585,-46.651400518209236,0.05,0.0,0.0,0.0,0.33,21.25,19.94,0.13,1.98,0.05,0.0,0.0444
89a8100e31bffff,-23.592251282443954,-46.64838923130035,0.0,2.61,0.32,1.22,3.07,93.33,4.71,0.01,3.42,0.7,0.0,0.1346
89a8100e3cfffff,-23.59392560239438,-46.64537790353908,1.21,4.05,0.6,3.46,4.58,261.98,3.88,0.01,5.54,0.98,0.0,0.2669
89a8100e3cbffff,-23.595599844259578,-46.64236653494126,3.09,3.04,0.96,7.58,3.84,247.58,0.91,0.0,4.16,0.52,0.0,0.2398
89a8100e237ffff,-23.597274008025234,-46.63935512552267,3.57,2.07,2.6,9.11,5.56,268.29,0.19,0.0,4.79,2.97,0.0,0.2931
89a8100e233ffff,-23.59894809367708,-46.63634367529914,4.27,2.56,3.09,7.38,6.01,255.72,0.56,0.0,6.09,4.03,0.0,0.3372
89a8100e207ffff,-23.600622101200827,-46.63333218428646,1.23,0.56,1.19,0.67,0.1,50.27,0.45,0.0,2.12,0.39,0.0,0.0728
89a8100e20fffff,-23.599231201329925,-46.63023025717698,1.38,0.53,1.35,0.06,0.22,161.42,0.86,0.0,5.08,0.0,0.0,0.1541
89a8100e273ffff,-23.59784020479395,-46.6271283176844,1.34,0.73,1.03,0.01,0.58,177.84,1.77,0.0,5.17,0.02,0.0,0.1611
