h3_id,latitude,longitude,S_saude,S_educacao,S_abastecimento,S_lazer,S_servicos,I_seguranca,A_vegetacao,A_agua,C_conectividade,T_transporte,U_urbanidade,IQC
891f99cdd7bffff,45.463563551560476,9.193783896748272,36.35,24.46,28.29,294.7,208.33,1010.5,5.08,0.05,17.15,34.66,148.59,0.4669
891f99cdd4fffff,45.463127035781675,9.189299376829553,34.27,22.93,36.25,358.86,263.87,1149.11,5.83,0.06,19.05,38.75,162.78,0.5342
891f99cd8b7ffff,45.46068780300374,9.191847473416422,40.86,26.98,32.18,278.66,195.34,950.39,4.97,0.04,16.69,33.0,162.94,0.4717
891f99cdd6bffff,45.461124203068515,9.196331933067384,47.52,32.14,29.34,238.93,153.74,1032.19,5.82,0.04,18.15,29.6,167.0,0.4821
891f99cdd63ffff,45.463999900659324,9.19826857657002,37.3,27.37,24.99,222.86,141.95,1076.18,6.51,0.06,17.78,28.04,123.36,0.4306
891f99cdd73ffff,45.46643921212193,9.195720480417771,23.44,20.38,23.5,270.8,190.75,1143.99,7.5,0.14,18.92,32.75,118.57,0.4413
891f99cdd47ffff,45.466002747306234,9.191235740308164,24.02,17.22,28.52,335.61,244.7,1152.5,7.8,0.11,19.34,35.74,148.59,0.4855
891f99cdd43ffff,45.46556611580948,9.18675116013873,25.82,17.52,33.98,345.76,265.9,1130.29,11.7,0.12,18.93,34.8,177.98,0.5206
891f99cdd4bffff,45.46269035334137,9.184815016860256,31.45,26.15,41.26,324.4,244.83,1082.29,7.45,0.17,17.8,31.75,135.02,0.5138
891f99cd8b3ffff,45.46025123627852,9.187363173677735,38.26,27.86,41.48,330.68,236.11,1101.53,4.98,0.18,18.76,35.21,154.45,0.5389
891f99cd8a3ffff,45.457811966472526,9.189911210406711,44.64,34.34,38.37,240.36,159.68,951.67,5.75,0.22,17.86,28.48,175.87,0.5051
891f99cd8a7ffff,45.45824841748655,9.19439544989773,49.2,34.12,31.24,212.45,137.14,922.09,6.03,0.06,17.42,26.74,181.26,0.472
891f99cd9d3ffff,45.45868470184127,9.198879849263903,47.23,27.6,24.31,168.23,99.07,812.79,6.3,0.04,15.34,20.55,136.7,0.3778
891f99cdd6fffff,45.46156043645446,9.200816552584238,44.38,28.39,25.51,195.47,116.83,990.87,6.29,0.04,16.97,23.66,131.93,0.4131
891f99cdd67ffff,45.46443608305981,9.202753416248397,31.22,24.98,23.27,177.47,107.17,1152.45,7.06,0.07,17.82,22.47,79.68,0.3773
891f99cdd77ffff,45.46687551023815,9.200205380421144,25.51,24.62,23.09,218.8,150.3,1278.08,9.34,0.19,20.12,28.79,100.93,0.4445
891f99cdd0fffff,45.469314784667205,9.1976572244404,17.98,18.96,22.67,225.07,155.94,1262.1,11.56,0.29,19.77,27.2,101.62,0.4295
891f99cdd0bffff,45.468878370831305,9.193172264129059,18.21,16.0,23.72,263.66,183.63,1132.69,10.42,0.23,19.0,28.25,124.96,0.4279
891f99cdd57ffff,45.46844179029481,9.188687463748636,22.42,16.04,30.08,330.88,237.44,1150.5,13.69,0.18,19.95,32.63,195.25,0.5144
891f99cdd53ffff,45.46800504307618,9.184202823345517,18.93,13.39,26.7,254.76,200.54,933.86,21.0,0.19,16.29,25.06,205.87,0.4495
891f99cdd5bffff,45.46512931765012,9.182266739955839,27.86,23.99,37.26,304.53,247.87,1134.93,14.56,0.16,19.24,30.68,179.67,0.5384
891f99cd897ffff,45.462253504257966,9.180330816886737,30.72,32.07,43.66,278.94,214.46,1043.83,9.1,0.27,17.76,25.6,128.4,0.5105
891f99cd887ffff,45.45981450291132,9.182879033897706,35.43,33.61,49.98,292.88,201.85,1081.85,5.86,0.36,18.47,26.55,122.74,0.5321
891f99cd8bbffff,45.45737534881762,9.185427130837228,35.79,32.62,47.06,252.69,162.89,987.18,5.75,0.65,17.76,24.88,137.47,0.5186
891f99cd8abffff,45.45493604198776,9.187975107703666,34.12,34.21,36.34,186.65,119.02,889.44,6.65,0.53,16.99,20.86,150.98,0.4596
