h3_id,latitude,longitude,S_saude,S_educacao,S_abastecimento,S_lazer,S_servicos,I_seguranca,A_vegetacao,A_agua,C_conectividade,T_transporte,U_urbanidade,IQC
891f99cdd7bffff,45.463563551560476,9.193783896748272,20.31,13.06,16.16,191.7,133.98,598.59,4.96,0.06,10.0,23.41,100.32,0.4231
891f99cdd4fffff,45.463127035781675,9.189299376829553,19.78,10.24,20.32,244.52,182.47,726.07,3.83,0.04,11.32,26.62,86.96,0.4803
891f99cd8b7ffff,45.46068780300374,9.191847473416422,25.57,14.41,19.21,168.52,119.66,540.86,5.09,0.04,9.46,21.56,108.5,0.4167
891f99cdd6bffff,45.461124203068515,9.196331933067384,31.53,21.01,16.99,139.07,90.24,590.98,6.49,0.06,11.02,18.22,121.62,0.4458
891f99cdd63ffff,45.463999900659324,9.19826857657002,20.88,18.16,14.07,131.61,81.9,670.14,6.59,0.06,10.95,16.73,74.06,0.3878
891f99cdd73ffff,45.46643921212193,9.195720480417771,11.54,10.62,12.41,168.09,116.88,705.1,5.71,0.08,12.03,21.49,64.0,0.387
891f99cdd47ffff,45.466002747306234,9.191235740308164,13.64,6.43,15.97,226.15,163.54,718.87,4.58,0.07,11.99,23.78,77.88,0.4295
891f99cdd43ffff,45.46556611580948,9.18675116013873,15.46,7.2,19.56,230.53,184.05,714.7,6.88,0.07,11.31,21.85,90.46,0.4486
891f99cdd4bffff,45.46269035334137,9.184815016860256,17.22,14.45,22.93,205.4,158.99,673.73,4.35,0.03,10.56,19.07,64.03,0.4328
891f99cd8b3ffff,45.46025123627852,9.187363173677735,22.98,14.67,24.81,214.85,152.33,714.16,4.41,0.05,11.67,23.38,87.64,0.4844
891f99cd8a3ffff,45.457811966472526,9.189911210406711,29.13,21.07,23.78,130.67,84.64,574.41,5.88,0.08,10.95,16.64,122.9,0.4428
891f99cd8a7ffff,45.45824841748655,9.19439544989773,34.65,21.56,18.65,108.36,71.26,479.86,6.45,0.04,10.22,15.34,134.51,0.417
891f99cd9d3ffff,45.45868470184127,9.198879849263903,34.49,17.78,12.52,87.13,49.9,430.23,6.71,0.05,9.23,11.27,88.58,0.3337
891f99cdd6fffff,45.46156043645446,9.200816552584238,29.25,18.38,13.91,109.18,63.84,585.03,6.78,0.05,10.41,13.48,82.74,0.3704
891f99cdd67ffff,45.46443608305981,9.202753416248397,17.49,17.59,13.83,101.01,59.19,746.17,6.71,0.04,10.93,12.58,34.0,0.3375
891f99cdd77ffff,45.46687551023815,9.200205380421144,12.32,15.97,13.07,119.64,86.81,826.12,8.75,0.15,12.97,17.72,45.76,0.3927
891f99cdd0fffff,45.469314784667205,9.1976572244404,8.06,9.94,10.87,112.33,87.31,715.1,12.0,0.33,12.51,16.26,55.9,0.3573
891f99cdd0bffff,45.468878370831305,9.193172264129059,8.47,6.76,12.07,147.45,101.19,650.81,8.01,0.2,12.0,16.03,58.8,0.3412
891f99cdd57ffff,45.46844179029481,9.188687463748636,12.06,7.02,18.1,210.01,150.0,725.01,9.03,0.12,12.57,19.35,99.87,0.4343
891f99cdd53ffff,45.46800504307618,9.184202823345517,10.42,4.95,15.72,150.25,122.61,553.76,19.59,0.18,9.31,13.25,113.91,0.3517
891f99cdd5bffff,45.46512931765012,9.182266739955839,16.01,13.79,21.24,192.65,168.37,736.47,11.87,0.14,11.76,18.34,100.78,0.4721
891f99cd897ffff,45.462253504257966,9.180330816886737,15.91,21.39,25.23,165.45,128.7,606.96,6.34,0.09,10.43,13.87,67.04,0.4228
891f99cd887ffff,45.45981450291132,9.182879033897706,19.83,21.2,30.6,181.09,120.26,664.95,5.18,0.19,11.41,15.44,65.78,0.4632
891f99cd8bbffff,45.45737534881762,9.185427130837228,19.66,16.79,27.15,140.8,89.37,588.42,5.75,0.52,10.69,14.66,79.03,0.4233
891f99cd8abffff,45.45493604198776,9.187975107703666,19.1,18.13,19.13,83.23,54.09,536.11,6.07,0.34,10.03,10.85,90.45,0.3513
891f99cd8afffff,45.45537254393433,9.192459127045595,27.57,22.23,18.86,88.56,55.63,517.58,6.45,0.05,10.53,11.88,120.33,0.3855
891f99cd9dbffff,45.455808879241125,9.196943306271928,41.14,24.27,22.29,123.99,72.72,621.68,6.03,0.03,13.07,15.11,122.5,0.4847
891f99cd9c3ffff,45.456245047889716,9.201427645336269,33.18,13.56,15.17,92.77,51.36,529.76,6.31,0.02,10.74,10.79,67.22,0.3327
891f99cd9d7ffff,45.459120819518255,9.20336440845883,28.04,11.63,12.46,81.76,43.09,514.23,6.38,0.03,9.92,9.68,51.76,0.2863
891f99cd99bffff,45.46199650314313,9.205301331920577,24.61,16.47,18.11,119.33,64.23,828.14,6.56,0.05,12.52,13.65,57.67,0.3964
891f99cd993ffff,45.464872098743506,9.20723841573697,16.15,13.85,15.45,99.21,54.35,863.15,6.38,0.03,11.59,11.61,22.12,0.3281
891f99cdd2bffff,45.46731164163648,9.204690440271875,13.14,16.1,13.43,92.04,63.61,885.95,8.92,0.12,12.28,13.13,19.16,0.3504
891f99cdd3bffff,45.4697510317841,9.202142344636234,8.45,9.73,9.74,75.39,60.76,688.63,13.94,0.37,10.75,11.85,33.95,0.2979
891f99cdd07ffff,45.47219026917545,9.19959412883165,6.44,6.22,8.09,74.3,59.25,560.62,21.66,0.75,9.16,10.83,62.7,0.295
891f99cdd03ffff,45.47175390633603,9.195108948307729,9.45,9.81,13.53,128.63,87.81,760.46,14.37,0.42,13.38,14.31,80.35,0.3954
891f99cdd1bffff,45.471317376776526,9.190623927705492,4.18,3.42,7.75,82.58,54.86,392.11,6.61,0.12,7.53,7.29,35.14,0.1665
891f99cddcfffff,45.47088068051531,9.186139067071297,12.69,9.98,20.11,193.73,131.09,711.39,19.27,0.15,12.76,16.01,156.86,0.4697
891f99cddcbffff,45.470443817570875,9.181654366451552,11.6,7.37,17.35,140.31,116.31,615.99,39.63,0.32,11.58,15.18,222.54,0.4762
891f99cdc27ffff,45.46756812919385,9.179718342966117,12.88,7.54,17.49,126.33,121.99,612.87,29.22,0.34,10.59,15.08,126.15,0.4141
891f99cdc2fffff,45.464692352846576,9.177782479805893,17.12,21.51,24.28,140.22,121.75,679.97,13.31,0.14,12.02,13.89,89.92,0.4569
891f99cd893ffff,45.46181648854992,9.175846776955387,8.25,15.56,13.53,60.1,48.91,346.12,8.37,0.06,6.83,5.66,47.52,0.2113
891f99cd883ffff,45.459377602920576,9.178395054122719,26.24,29.13,41.36,193.79,122.9,726.56,6.23,0.56,13.31,14.23,68.64,0.5765
891f99cd88fffff,45.45693856454024,9.180943211235634,23.04,23.7,40.05,184.88,108.56,708.3,6.19,1.08,12.8,14.69,69.14,0.5645
891f99cd817ffff,45.454499373419814,9.183491248292537,14.46,15.08,24.39,111.39,66.95,593.78,6.53,1.18,10.62,11.0,66.71,0.4089
891f99cd807ffff,45.452060029570276,9.186039165291815,12.28,23.34,22.57,97.17,62.61,664.72,7.43,0.97,12.28,10.93,77.35,0.4418
891f99cd833ffff,45.45249658243271,9.190522964495486,15.01,22.94,15.57,78.76,54.45,570.6,7.26,0.32,11.02,10.38,80.11,0.3629
891f99cd837ffff,45.45293296867488,9.1950069235928,20.96,20.7,15.09,90.08,52.97,560.16,6.68,0.02,11.5,10.11,74.87,0.3493
891f99cd9cbffff,45.453369188278366,9.199491042537389,24.26,14.3,16.92,106.41,62.21,572.53,5.36,0.01,11.29,10.63,59.04,0.3345
891f99cd9cfffff,45.45380524122476,9.20397532128286,19.1,8.3,17.28,116.65,70.13,729.24,5.24,0.01,13.14,11.17,40.77,0.3336
891f99cd9c7ffff,45.45668104986166,9.205912144192224,19.93,5.56,16.84,100.38,54.4,706.66,6.4,0.01,12.42,10.83,52.05,0.308
891f99cd98bffff,45.459556770499084,9.207849127436097,23.8,9.8,19.08,108.91,52.73,723.45,6.91,0.03,12.4,11.26,62.55,0.3467
891f99cd983ffff,45.46243240311615,9.20978627102998,14.12,7.1,14.31,84.01,38.27,608.85,6.72,0.07,9.64,8.38,46.81,0.2475
891f99cd997ffff,45.465307947692,9.211723574989348,12.94,8.99,14.15,85.42,41.79,696.98,5.59,0.06,10.57,9.26,34.0,0.2657
891f99cdd2fffff,45.467747606298474,9.209175659923527,13.27,10.46,13.89,84.81,51.02,843.39,6.73,0.05,11.46,10.74,16.14,0.2944
891f99cdd23ffff,45.47018711216357,9.206627624670157,14.89,10.94,15.9,113.89,73.09,908.55,11.76,0.28,12.47,13.1,30.89,0.3717
891f99cdd33ffff,45.472626465276335,9.204079469230784,12.22,7.85,14.44,115.73,75.91,774.48,17.86,0.59,10.68,12.31,48.82,0.3595
891f99cddabffff,45.47506566562582,9.201531193607007,10.38,7.12,11.87,108.63,67.99,759.35,23.54,0.84,9.31,11.56,67.95,0.3587
891f99cdd17ffff,45.47462935379957,9.197045792859683,9.46,7.17,10.6,89.83,63.03,727.5,21.93,0.76,9.78,11.46,75.56,0.3431
