h3_id,latitude,longitude,S_saude,S_educacao,S_abastecimento,S_lazer,S_servicos,I_seguranca,A_vegetacao,A_agua,C_conectividade,T_transporte,U_urbanidade,IQC
891f99cdd7bffff,45.463563551560476,9.193783896748272,7.32,5.26,5.98,91.56,59.7,305.46,6.22,0.1,4.57,11.63,51.96,0.3623
891f99cdd4fffff,45.463127035781675,9.189299376829553,9.8,3.0,8.6,129.29,96.08,372.05,3.11,0.03,5.43,14.28,37.26,0.4499
891f99cd8b7ffff,45.46068780300374,9.191847473416422,9.61,3.86,7.43,73.29,52.59,236.73,6.03,0.06,3.95,10.1,45.8,0.3137
891f99cdd6bffff,45.461124203068515,9.196331933067384,15.22,10.2,7.27,60.74,38.23,277.1,7.62,0.09,5.28,8.43,69.08,0.3783
891f99cdd63ffff,45.463999900659324,9.19826857657002,6.53,8.97,7.62,64.02,39.39,320.03,7.31,0.08,5.42,8.17,35.1,0.3372
891f99cdd73ffff,45.46643921212193,9.195720480417771,4.85,2.12,5.38,80.55,55.56,335.18,3.95,0.08,6.27,11.03,22.64,0.3348
891f99cdd47ffff,45.466002747306234,9.191235740308164,5.85,1.71,6.13,115.72,83.63,337.52,2.12,0.04,6.01,12.57,38.22,0.3975
891f99cdd43ffff,45.46556611580948,9.18675116013873,7.88,1.97,8.45,115.85,99.46,369.51,3.25,0.03,5.35,10.66,30.74,0.405
891f99cdd4bffff,45.46269035334137,9.184815016860256,7.78,6.37,10.22,94.91,79.04,314.31,2.42,0.0,4.83,8.38,20.96,0.3659
891f99cd8b3ffff,45.46025123627852,9.187363173677735,10.5,4.83,11.34,104.27,72.42,364.89,3.16,0.01,5.76,11.32,29.3,0.4174
891f99cd8a3ffff,45.457811966472526,9.189911210406711,11.58,8.78,12.96,47.06,30.25,254.22,5.16,0.02,5.27,6.93,57.5,0.3419
891f99cd8a7ffff,45.45824841748655,9.19439544989773,19.96,10.02,9.06,39.34,29.36,197.03,8.23,0.06,4.76,6.69,80.49,0.3515
891f99cd9d3ffff,45.45868470184127,9.198879849263903,21.43,8.58,3.29,32.58,15.55,139.64,7.2,0.06,4.41,4.51,39.69,0.2584
891f99cdd6fffff,45.46156043645446,9.200816552584238,13.16,7.58,5.89,45.51,27.43,250.61,7.06,0.08,5.43,6.17,42.13,0.3024
891f99cdd67ffff,45.46443608305981,9.202753416248397,5.2,13.67,6.63,41.8,24.51,349.39,7.37,0.02,5.11,4.89,6.58,0.2883
