h3_id,latitude,longitude,S_saude,S_educacao,S_abastecimento,S_lazer,S_servicos,I_seguranca,A_vegetacao,A_agua,C_conectividade,T_transporte,U_urbanidade,IQC
892f5a3758fffff,35.68940570722539,139.70077503798473,50.47,12.2,81.5,541.89,199.86,775.92,10.93,0.25,16.71,24.27,62.86,0.5851
892f5a3758bffff,35.69021540145423,139.70417698245294,40.54,6.69,68.07,443.56,149.8,705.61,15.06,0.41,14.04,17.96,54.32,0.4887
892f5a37513ffff,35.69243999780543,139.70162636409054,61.22,18.68,94.44,647.84,214.67,874.36,8.38,0.17,18.37,23.9,54.22,0.643
892f5a37517ffff,35.6916301940683,139.69822445507214,59.75,21.43,85.89,593.91,221.08,811.67,6.22,0.1,18.38,26.16,51.15,0.6295
892f5a375bbffff,35.68859595310164,139.6973733130162,36.6,11.65,58.72,350.09,158.2,543.54,5.97,0.09,13.87,22.12,39.56,0.4352
892f5a37587ffff,35.68637145914085,139.69992379024748,28.59,7.84,50.17,273.79,130.12,449.77,5.92,0.08,11.84,18.51,32.91,0.3549
892f5a37583ffff,35.687181103760906,139.70332555066787,26.85,6.64,50.59,289.53,112.12,617.43,24.75,0.81,14.89,15.35,75.54,0.4704
892f5a3759bffff,35.68799068848029,139.70672753056922,26.12,7.43,52.7,290.2,102.26,657.41,36.16,1.45,16.74,14.97,114.74,0.5695
892f5a375d7ffff,35.69102503576893,139.7075791464181,38.49,11.7,74.72,408.32,132.76,771.03,20.99,0.73,17.9,19.04,75.39,0.5668
892f5a375c7ffff,35.693249741634155,139.7050284926246,50.12,13.57,83.88,516.48,158.38,728.64,7.86,0.17,15.81,18.69,39.19,0.5184
892f5a3751bffff,35.69547433086274,139.70247776857536,58.21,24.7,90.94,545.04,168.38,703.73,3.0,0.03,17.99,20.02,31.31,0.5615
892f5a37503ffff,35.69466447752114,139.69907567548918,64.85,32.86,90.9,604.13,207.47,776.78,3.42,0.05,19.57,22.63,36.65,0.6403
892f5a37507ffff,35.69385456427695,139.69567380193735,53.81,29.75,72.8,472.93,178.75,685.36,5.1,0.08,17.87,20.85,37.03,0.5621
892f5a375abffff,35.690820330442044,139.69482276557216,47.64,23.81,67.1,424.52,178.28,660.44,6.64,0.11,17.27,24.26,46.44,0.5451
892f5a375a3ffff,35.687786139102194,139.69397180755,11.76,7.34,21.98,89.59,51.15,265.74,8.96,0.18,8.7,10.71,21.51,0.2089
892f5a375b3ffff,35.68556175463928,139.69652224931085,20.61,9.62,41.21,156.4,94.45,324.31,7.29,0.07,13.58,16.25,25.66,0.3006
892f5a3664bffff,35.683337253569896,139.6990726208684,12.68,7.68,29.44,90.55,60.68,228.67,12.13,0.18,11.89,11.01,21.29,0.2342
892f5a37597ffff,35.68414684857233,139.70247419725888,16.62,7.93,36.02,139.88,83.87,337.29,15.04,0.36,13.03,14.1,33.62,0.3079
892f5a37593ffff,35.684956383687556,139.70587599311438,6.72,4.44,17.34,85.73,29.56,340.77,52.58,2.2,11.28,4.66,97.04,0.4271
892f5aadb67ffff,35.685765858896346,139.70927800843208,10.9,6.96,27.45,128.8,46.07,470.0,45.25,1.95,14.28,7.85,116.21,0.4857
892f5aadb6fffff,35.68880021327977,139.71012972994876,28.2,13.67,57.41,275.74,97.54,715.59,29.4,1.18,19.06,17.01,106.45,0.5789
892f5a375d3ffff,35.69183461015029,139.71098152987747,34.76,15.25,68.73,319.4,108.13,729.97,19.73,0.72,19.49,18.89,71.81,0.5458
892f5a375c3ffff,35.69405942553531,139.70843084067155,36.14,13.67,69.43,319.14,103.07,630.61,9.66,0.24,16.21,16.63,31.5,0.4338
892f5a375cfffff,35.69628412428255,139.70588008119321,53.37,22.2,88.99,454.67,145.33,709.82,5.07,0.06,19.03,20.42,34.58,0.5419
892f5a37557ffff,35.69850870637922,139.70332925144967,54.66,35.06,84.86,419.59,136.39,620.7,3.59,0.02,20.52,19.98,35.26,0.5633
892f5a3750bffff,35.69769880344199,139.6999269742777,56.7,38.04,82.92,462.62,149.95,628.26,2.61,0.03,19.94,19.07,25.4,0.5678
892f5a3750fffff,35.6968888405887,139.69652491665607,57.33,40.18,77.41,439.47,158.86,673.42,3.09,0.06,20.71,19.61,27.11,0.5832
892f5a3753bffff,35.69607881783858,139.69312307858752,44.06,33.6,56.7,277.12,115.38,530.23,3.8,0.1,17.59,15.63,23.05,0.4601
892f5a37533ffff,35.69304459114936,139.6922721479226,40.56,26.14,55.5,300.29,133.85,573.99,7.07,0.11,16.84,19.52,37.45,0.4729
892f5a375afffff,35.69001040694584,139.69142129559327,32.95,20.69,49.74,240.1,121.26,532.37,8.57,0.15,16.62,22.53,45.62,0.4484
892f5a375a7ffff,35.686976265246194,139.69057052158905,19.8,15.94,34.78,116.98,72.57,347.71,9.0,0.16,15.37,20.21,37.95,0.3413
892f5a375b7ffff,35.68475199027549,139.6931209278606,15.9,12.26,33.76,104.37,69.71,287.75,10.15,0.14,15.97,17.43,32.37,0.3062
892f5a3664fffff,35.68252759869942,139.69567126394566,13.93,9.93,30.86,87.52,61.32,246.68,13.62,0.14,15.77,12.2,24.43,0.2665
892f5a36643ffff,35.68030309053074,139.69822152983699,2.49,2.29,7.27,15.66,13.64,103.84,35.11,0.57,9.31,1.88,18.73,0.1645
892f5a3665bffff,35.681112635906686,139.70162292221556,10.4,9.79,29.48,84.19,52.57,338.11,24.33,0.62,17.47,10.0,42.78,0.3246
892f5aadb2fffff,35.68192212140888,139.70502453404316,10.7,11.57,30.97,104.93,54.76,448.51,31.16,1.1,19.0,10.16,79.2,0.4224
892f5aadb2bffff,35.68273154701806,139.70842636531702,8.35,13.98,25.65,82.8,39.34,481.56,36.96,1.51,18.93,8.06,114.16,0.4757
892f5aadb77ffff,35.683540912715046,139.71182841603442,5.54,6.13,16.43,63.36,26.24,341.1,48.9,2.27,12.41,5.17,105.85,0.4401
892f5aadb63ffff,35.68657527417945,139.71268024320932,7.88,5.14,20.65,93.16,33.63,374.34,48.64,2.15,11.53,6.21,95.75,0.435
