h3_id,latitude,longitude,S_saude,S_educacao,S_abastecimento,S_lazer,S_servicos,I_seguranca,A_vegetacao,A_agua,C_conectividade,T_transporte,U_urbanidade,IQC
892f5a3758fffff,35.68940570722539,139.70077503798473,34.82,4.45,52.87,374.09,142.04,513.83,6.56,0.09,9.71,16.49,38.76,0.5436
892f5a3758bffff,35.69021540145423,139.70417698245294,25.03,1.35,38.26,278.26,87.85,461.51,12.22,0.22,7.42,9.13,28.22,0.3936
892f5a37513ffff,35.69243999780543,139.70162636409054,43.34,7.53,61.09,490.33,151.12,588.43,4.65,0.07,10.28,14.09,32.88,0.5966
892f5a37517ffff,35.6916301940683,139.69822445507214,41.73,11.84,54.44,427.35,160.3,579.69,5.18,0.09,11.58,16.83,33.29,0.6191
892f5a375bbffff,35.68859595310164,139.6973733130162,22.33,5.57,36.72,202.35,104.3,327.9,4.08,0.08,8.3,14.18,21.16,0.3891
892f5a37587ffff,35.68637145914085,139.69992379024748,15.59,3.49,30.51,139.7,80.51,221.96,1.71,0.01,6.56,12.45,19.1,0.2968
892f5a37583ffff,35.687181103760906,139.70332555066787,12.52,3.06,24.3,141.3,55.95,377.87,24.36,0.64,8.19,7.9,38.95,0.3495
892f5a3759bffff,35.68799068848029,139.70672753056922,12.43,3.09,27.19,160.22,49.52,428.65,49.24,1.92,10.86,6.74,88.14,0.4979
892f5a375d7ffff,35.69102503576893,139.7075791464181,23.81,6.26,48.56,274.56,83.35,538.11,22.13,0.65,10.93,11.16,42.08,0.507
892f5a375c7ffff,35.693249741634155,139.7050284926246,32.21,4.34,53.81,365.98,101.17,462.34,3.85,0.06,8.65,9.86,17.9,0.4441
892f5a3751bffff,35.69547433086274,139.70247776857536,39.03,13.08,61.68,401.8,111.55,448.52,1.72,0.02,10.9,11.22,17.75,0.5269
892f5a37503ffff,35.69466447752114,139.69907567548918,44.04,23.36,56.13,446.47,142.44,516.54,2.21,0.05,11.92,12.76,21.15,0.6175
892f5a37507ffff,35.69385456427695,139.69567380193735,32.78,20.78,42.13,303.44,113.4,480.08,5.39,0.1,11.32,11.02,18.79,0.5181
892f5a375abffff,35.690820330442044,139.69482276557216,29.71,14.07,41.03,266.78,119.08,488.64,8.18,0.14,11.54,15.62,30.26,0.5267
892f5a375a3ffff,35.687786139102194,139.69397180755,3.62,1.61,8.07,27.07,16.79,155.3,10.86,0.21,4.27,4.24,10.15,0.132
892f5a375b3ffff,35.68556175463928,139.69652224931085,12.83,5.53,23.3,85.23,53.16,148.15,2.92,0.01,7.68,8.63,11.53,0.2405
892f5a3664bffff,35.683337253569896,139.6990726208684,6.72,4.65,15.4,41.57,29.85,96.96,5.89,0.04,6.22,5.79,8.84,0.1674
892f5a37597ffff,35.68414684857233,139.70247419725888,8.26,4.68,20.53,68.36,48.41,167.09,7.16,0.07,7.04,8.62,13.99,0.2277
892f5a37593ffff,35.684956383687556,139.70587599311438,2.12,1.18,5.56,30.27,9.36,155.3,72.45,3.06,7.21,1.17,77.34,0.3631
892f5aadb67ffff,35.685765858896346,139.70927800843208,4.11,2.3,11.11,56.9,17.95,242.0,63.23,2.85,9.11,2.49,97.53,0.4242
892f5aadb6fffff,35.68880021327977,139.71012972994876,14.43,7.51,34.41,160.51,54.75,495.31,37.73,1.49,12.46,10.21,79.04,0.5316
892f5a375d3ffff,35.69183461015029,139.71098152987747,19.11,10.43,45.72,194.55,67.0,517.94,20.09,0.66,12.77,12.82,41.39,0.5065
892f5a375c3ffff,35.69405942553531,139.70843084067155,18.25,6.88,43.99,182.72,57.93,393.05,5.46,0.12,9.44,9.76,9.86,0.3573
892f5a375cfffff,35.69628412428255,139.70588008119321,33.74,11.05,62.01,305.77,91.07,448.59,2.35,0.03,11.64,11.9,14.1,0.492
892f5a37557ffff,35.69850870637922,139.70332925144967,34.81,22.32,60.41,276.32,86.05,398.7,2.81,0.02,13.44,12.67,14.14,0.5369
892f5a3750bffff,35.69769880344199,139.6999269742777,36.02,26.89,54.47,321.71,95.07,400.49,2.05,0.02,12.93,11.42,11.48,0.5454
892f5a3750fffff,35.6968888405887,139.69652491665607,34.93,30.55,45.92,284.76,97.24,416.19,2.02,0.04,13.06,10.83,11.25,0.5416
892f5a3753bffff,35.69607881783858,139.69312307858752,22.85,23.34,32.33,144.88,61.75,315.92,2.86,0.07,10.42,7.19,9.12,0.3852
892f5a37533ffff,35.69304459114936,139.6922721479226,23.15,15.52,33.33,173.01,80.75,402.52,8.91,0.15,10.95,11.37,22.71,0.433
892f5a375afffff,35.69001040694584,139.69142129559327,17.36,11.25,27.23,128.75,69.47,370.37,12.07,0.19,10.8,15.01,33.66,0.4169
892f5a375a7ffff,35.686976265246194,139.69057052158905,8.0,8.59,17.32,53.9,33.37,198.45,12.18,0.23,8.92,12.21,28.08,0.292
892f5a375b7ffff,35.68475199027549,139.6931209278606,7.14,7.08,17.93,44.97,32.3,159.39,8.27,0.12,9.79,9.18,16.74,0.248
892f5a3664fffff,35.68252759869942,139.69567126394566,7.86,5.57,16.86,38.03,30.59,119.42,10.8,0.06,9.5,5.92,11.26,0.2109
892f5a36643ffff,35.68030309053074,139.69822152983699,0.59,0.56,1.76,4.08,4.5,37.79,44.46,0.88,4.92,0.44,13.8,0.1368
892f5a3665bffff,35.681112635906686,139.70162292221556,6.09,5.94,17.84,42.08,29.81,207.04,20.58,0.42,10.31,5.87,19.61,0.2603
892f5aadb2fffff,35.68192212140888,139.70502453404316,5.53,7.56,19.4,49.81,31.5,271.03,30.14,1.18,11.76,6.18,44.32,0.3531
892f5aadb2bffff,35.68273154701806,139.70842636531702,3.97,7.61,13.33,36.88,20.94,277.82,44.31,2.06,12.2,4.21,89.32,0.4247
892f5aadb77ffff,35.683540912715046,139.71182841603442,1.57,2.0,5.17,19.4,8.12,136.44,65.56,3.38,7.76,1.57,86.7,0.3789
892f5aadb63ffff,35.68657527417945,139.71268024320932,2.48,1.32,7.57,35.92,10.97,186.62,67.3,3.06,6.99,1.96,72.98,0.3648
892f5aadb6bffff,35.689609678140194,139.71353214880378,12.48,10.45,32.63,115.08,47.3,418.95,18.3,0.58,10.91,10.76,31.81,0.403
892f5a374a7ffff,35.692644124579104,139.71438413282826,11.83,11.58,27.36,60.2,32.84,314.67,3.03,0.05,10.19,9.81,9.84,0.301
892f5a375dbffff,35.69486904948969,139.71183340822867,13.32,10.62,26.71,52.1,30.03,285.63,2.3,0.03,9.8,9.35,7.32,0.2836
892f5a375cbffff,35.6970938577613,139.70928261333998,20.64,10.16,42.01,118.42,48.19,338.6,2.76,0.03,10.76,10.73,8.74,0.3573
892f5a37553ffff,35.699318549381196,139.70673174816932,20.18,11.56,36.0,92.74,42.73,241.42,5.21,0.03,9.75,9.21,12.46,0.3256
892f5a37543ffff,35.7015431243367,139.70418081272396,25.64,20.21,42.11,125.49,53.53,250.61,5.35,0.01,12.31,11.08,22.95,0.426
892f5a37547ffff,35.70073317181268,139.70077835144818,24.94,22.65,36.99,141.45,52.11,245.88,3.4,0.0,11.7,9.78,9.94,0.4
892f5a37573ffff,35.69992315935919,139.69737610973874,30.24,27.68,38.03,185.12,65.39,310.31,1.95,0.02,12.77,10.41,7.71,0.4592
892f5a37577ffff,35.699113086995375,139.6939740875984,26.56,26.61,31.55,129.35,54.05,258.86,1.17,0.14,11.81,9.58,9.56,0.4131
892f5a3752bffff,35.69830295474051,139.6905722850299,12.43,13.37,17.45,34.99,22.2,128.98,1.1,0.15,7.05,4.86,7.91,0.2121
892f5a37523ffff,35.69526873521083,139.68972146007482,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,1.0,0.0,0.0,0.0
892f5a37537ffff,35.69223455815758,139.68887071344776,19.42,11.73,25.34,109.82,56.78,338.33,10.82,0.16,11.2,11.51,26.0,0.3814
892f5a362dbffff,35.689200423598905,139.68802004513827,16.32,14.85,21.72,73.07,42.68,250.57,10.3,0.16,11.98,14.06,30.05,0.3807
892f5a362d3ffff,35.686166331552926,139.68716945513597,11.65,16.07,18.3,51.31,31.75,151.11,6.71,0.15,10.46,11.78,18.46,0.3094
892f5a3666bffff,35.68394216606862,139.68971982589952,9.93,12.43,21.24,55.19,39.45,175.45,6.53,0.12,11.88,12.24,17.85,0.3144
892f5a3667bffff,35.68171788398012,139.69227012649333,7.57,7.36,17.36,41.12,32.36,154.04,11.19,0.13,12.4,8.41,15.19,0.2644
892f5a36647ffff,35.67949348530016,139.69482035691018,5.25,3.67,11.63,21.63,22.0,104.78,22.0,0.2,11.21,3.94,14.09,0.206
892f5a36657ffff,35.677268970041496,139.69737051714284,1.16,1.04,3.43,6.8,7.93,45.92,43.44,0.58,7.75,0.71,14.42,0.1563
892f5a36653ffff,35.67807846578213,139.70077172552746,2.58,2.5,8.16,19.98,14.25,123.43,41.67,0.71,10.38,2.13,20.64,0.2217
892f5aadb27ffff,35.6788879016624,139.70417315334512,4.63,6.66,17.8,43.82,21.15,264.95,20.63,0.51,10.4,3.77,21.21,0.2594
892f5aadb23ffff,35.679697277663145,139.7075748005931,5.27,8.78,20.56,51.57,25.39,320.27,25.64,1.04,12.7,4.62,44.94,0.3531
892f5aadb3bffff,35.68050659376513,139.71097666726862,4.56,10.5,12.87,32.73,19.23,259.83,30.49,1.32,10.78,4.67,47.79,0.3383
892f5aadb0fffff,35.681315849949186,139.71437875336895,5.98,15.44,9.51,29.81,17.03,242.68,20.57,0.65,9.98,5.08,22.41,0.2863
892f5aadb73ffff,35.68435021848063,139.71523068619257,10.19,16.84,11.04,47.45,22.05,233.35,15.0,0.47,8.1,6.28,13.54,0.276
