source_h3_id,target_h3_id,source_node_id,target_node_id,time_min,alpha_20,profile_key
892f5a36053ffff,892f5a36053ffff,1304352680,1304352680,3.9237,0.908,elderly
892f5a36053ffff,892f5a3605bffff,1304352680,2321419350,13.6735,0.227227,elderly
892f5a36053ffff,892f5a36623ffff,1304352680,1075380045,17.7899,0.029829,elderly
892f5a36053ffff,892f5a36627ffff,1304352680,2862866543,8.1464,0.643532,elderly
892f5a36053ffff,892f5a3662fffff,1304352680,380476702,15.4144,0.124196,elderly
892f5a36053ffff,892f5a36637ffff,1304352680,2321360661,17.9847,0.024844,elderly
892f5a3605bffff,892f5a36053ffff,2321419350,1304352680,14.147,0.196846,elderly
892f5a3605bffff,892f5a3605bffff,2321419350,2321419350,1.1801,0.991434,elderly
892f5a3605bffff,892f5a36293ffff,2321419350,2201592550,16.3642,0.079349,elderly
892f5a3605bffff,892f5a36297ffff,2321419350,1304643745,14.7841,0.158639,elderly
892f5a3605bffff,892f5a36623ffff,2321419350,1075380045,14.3352,0.185224,elderly
892f5a3605bffff,892f5a36627ffff,2321419350,2862866543,9.2603,0.557962,elderly
892f5a3605bffff,892f5a3662bffff,2321419350,1304351798,18.7969,0.008902,elderly
892f5a3605bffff,892f5a3662fffff,2321419350,380476702,7.2218,0.711341,elderly
892f5a3605bffff,892f5a36637ffff,2321419350,2321360661,14.53,0.173485,elderly
892f5a36213ffff,892f5a36213ffff,1239443735,1239443735,1.5013,0.986162,elderly
892f5a36213ffff,892f5a3621bffff,1239443735,7878186387,12.3256,0.321386,elderly
892f5a36213ffff,892f5a36283ffff,1239443735,1143784300,19.801,0.000244,elderly
892f5a36213ffff,892f5a3628bffff,1239443735,1239449262,10.4684,0.463243,elderly
892f5a36213ffff,892f5a3628fffff,1239443735,1304643606,14.2597,0.189858,elderly
892f5a36213ffff,892f5a3629bffff,1239443735,1304643617,18.119,0.021666,elderly
892f5a36213ffff,892f5a362c3ffff,1239443735,7946433661,19.0946,0.005048,elderly
892f5a36213ffff,892f5a362c7ffff,1239443735,896901457,8.5491,0.612966,elderly
892f5a36213ffff,892f5a362cfffff,1239443735,2095799546,16.9852,0.055026,elderly
892f5a36213ffff,892f5a362d7ffff,1239443735,1239449343,16.2295,0.085163,elderly
892f5a3621bffff,892f5a36213ffff,7878186387,1239443735,13.5688,0.23416,elderly
892f5a3621bffff,892f5a3621bffff,7878186387,7878186387,0.1967,0.999761,elderly
892f5a3621bffff,892f5a36253ffff,7878186387,11512438978,19.3325,0.002746,elderly
892f5a3621bffff,892f5a36257ffff,7878186387,563748914,11.168,0.408776,elderly
892f5a3621bffff,892f5a3628bffff,7878186387,1239449262,18.7086,0.010252,elderly
892f5a3621bffff,892f5a362c3ffff,7878186387,7946433661,17.4146,0.040669,elderly
892f5a3621bffff,892f5a362c7ffff,7878186387,896901457,9.3444,0.551399,elderly
892f5a3621bffff,892f5a362cbffff,7878186387,472359869,19.3465,0.002632,elderly
892f5a3621bffff,892f5a362cfffff,7878186387,2095799546,14.811,0.157097,elderly
892f5a3621bffff,892f5a362d7ffff,7878186387,1239449343,19.1951,0.003992,elderly
892f5a36243ffff,892f5a36243ffff,822683298,822683298,0.7974,0.996082,elderly
892f5a36243ffff,892f5a36247ffff,822683298,1942852414,9.808,0.515079,elderly
892f5a36243ffff,892f5a3624bffff,822683298,1107512343,16.9983,0.054556,elderly
892f5a36243ffff,892f5a3624fffff,822683298,1800595808,10.5275,0.458614,elderly
892f5a36243ffff,892f5a36253ffff,822683298,11512438978,13.9889,0.206814,elderly
892f5a36243ffff,892f5a36257ffff,822683298,563748914,11.9218,0.351342,elderly
892f5a36243ffff,892f5a3625bffff,822683298,764851982,11.7511,0.364193,elderly
892f5a36243ffff,892f5a362cfffff,822683298,2095799546,17.9248,0.02633,elderly
892f5a36243ffff,892f5a37197ffff,822683298,839607167,17.9033,0.026874,elderly
892f5a36243ffff,892f5a37527ffff,822683298,9602267747,18.9378,0.006944,elderly
892f5a36243ffff,892f5a3752fffff,822683298,10293242124,18.7877,0.009038,elderly
892f5a36247ffff,892f5a36243ffff,1942852414,822683298,8.4193,0.622874,elderly
892f5a36247ffff,892f5a36247ffff,1942852414,1942852414,4.1901,0.895555,elderly
892f5a36247ffff,892f5a3624fffff,1942852414,1800595808,14.1054,0.199454,elderly
892f5a36247ffff,892f5a36253ffff,1942852414,11512438978,16.6246,0.068649,elderly
892f5a36247ffff,892f5a36257ffff,1942852414,563748914,12.0825,0.339342,elderly
892f5a36247ffff,892f5a3625bffff,1942852414,764851982,18.1467,0.021038,elderly
892f5a36247ffff,892f5a362cfffff,1942852414,2095799546,19.8701,0.000104,elderly
892f5a3624bffff,892f5a36243ffff,1107512343,822683298,16.1085,0.090542,elderly
892f5a3624bffff,892f5a36247ffff,1107512343,1942852414,18.816,0.008622,elderly
892f5a3624bffff,892f5a3624bffff,1107512343,1107512343,0.8733,0.995303,elderly
892f5a3624bffff,892f5a3624fffff,1107512343,1800595808,12.889,0.280806,elderly
892f5a3624bffff,892f5a3625bffff,1107512343,764851982,11.237,0.403454,elderly
892f5a3624bffff,892f5a37183ffff,1107512343,771032173,17.254,0.045797,elderly
892f5a3624bffff,892f5a37187ffff,1107512343,798894742,10.369,0.471035,elderly
892f5a3624bffff,892f5a3718fffff,1107512343,6451601256,19.9879,1e-06,elderly
892f5a3624bffff,892f5a37197ffff,1107512343,839607167,15.4041,0.12473,elderly
892f5a3624bffff,892f5a371b3ffff,1107512343,659292988,10.0935,0.492653,elderly
892f5a3624bffff,892f5a371bbffff,1107512343,2569654976,17.9957,0.024576,elderly
892f5a3624bffff,892f5a3752fffff,1107512343,10293242124,18.6971,0.010435,elderly
892f5a3624fffff,892f5a36243ffff,1800595808,822683298,8.8258,0.5917,elderly
892f5a3624fffff,892f5a36247ffff,1800595808,1942852414,11.5333,0.380736,elderly
892f5a3624fffff,892f5a3624bffff,1800595808,1107512343,12.0723,0.340102,elderly
892f5a3624fffff,892f5a3624fffff,1800595808,1800595808,2.6221,0.958186,elderly
892f5a3624fffff,892f5a36257ffff,1800595808,563748914,17.1692,0.048621,elderly
892f5a3624fffff,892f5a3625bffff,1800595808,764851982,13.3883,0.246269,elderly
892f5a3624fffff,892f5a37197ffff,1800595808,839607167,19.5404,0.001302,elderly
892f5a3624fffff,892f5a371b3ffff,1800595808,659292988,16.8473,0.060071,elderly
892f5a36253ffff,892f5a36243ffff,11512438978,822683298,15.0609,0.143083,elderly
892f5a36253ffff,892f5a36247ffff,11512438978,1942852414,19.4594,0.001802,elderly
892f5a36253ffff,892f5a36253ffff,11512438978,11512438978,1.1194,0.992291,elderly
892f5a36253ffff,892f5a36257ffff,11512438978,563748914,13.5933,0.232534,elderly
892f5a36253ffff,892f5a3625bffff,11512438978,764851982,13.9646,0.208362,elderly
892f5a36253ffff,892f5a362cbffff,11512438978,472359869,12.2746,0.325129,elderly
892f5a36253ffff,892f5a362cfffff,11512438978,2095799546,13.5525,0.235245,elderly
892f5a36253ffff,892f5a37527ffff,11512438978,9602267747,8.8112,0.59283,elderly
892f5a36253ffff,892f5a3752fffff,11512438978,10293242124,13.2402,0.256359,elderly
892f5a36257ffff,892f5a3621bffff,563748914,7878186387,12.1978,0.330791,elderly
892f5a36257ffff,892f5a36243ffff,563748914,822683298,11.5216,0.381628,elderly
892f5a36257ffff,892f5a36247ffff,563748914,1942852414,12.1141,0.336996,elderly
892f5a36257ffff,892f5a3624fffff,563748914,1800595808,19.4025,0.002201,elderly
892f5a36257ffff,892f5a36253ffff,563748914,11512438978,11.8067,0.360003,elderly
892f5a36257ffff,892f5a36257ffff,563748914,563748914,0.2074,0.999735,elderly
892f5a36257ffff,892f5a3625bffff,563748914,764851982,19.7549,0.00037,elderly
892f5a36257ffff,892f5a362c7ffff,563748914,896901457,19.0101,0.006033,elderly
892f5a36257ffff,892f5a362cbffff,563748914,472359869,16.436,0.076328,elderly
892f5a36257ffff,892f5a362cfffff,563748914,2095799546,11.386,0.392,elderly
892f5a36257ffff,892f5a37527ffff,563748914,9602267747,16.6624,0.067154,elderly
892f5a3625bffff,892f5a36243ffff,764851982,822683298,11.4883,0.38417,elderly
892f5a3625bffff,892f5a36247ffff,764851982,1942852414,19.5794,0.001091,elderly
892f5a3625bffff,892f5a3624bffff,764851982,1107512343,12.0203,0.343974,elderly
892f5a3625bffff,892f5a3624fffff,764851982,1800595808,14.408,0.180807,elderly
892f5a3625bffff,892f5a36253ffff,764851982,11512438978,13.7207,0.224128,elderly
892f5a3625bffff,892f5a36257ffff,764851982,563748914,19.1044,0.004939,elderly
892f5a3625bffff,892f5a3625bffff,764851982,764851982,0.8636,0.995407,elderly
892f5a3625bffff,892f5a362cbffff,764851982,472359869,19.5004,0.001539,elderly
892f5a3625bffff,892f5a37183ffff,764851982,771032173,16.9891,0.054887,elderly
892f5a3625bffff,892f5a37187ffff,764851982,798894742,13.8691,0.214485,elderly
892f5a3625bffff,892f5a37193ffff,764851982,7865126998,15.6726,0.111135,elderly
892f5a3625bffff,892f5a37197ffff,764851982,839607167,8.9112,0.585101,elderly
892f5a3625bffff,892f5a371b3ffff,764851982,659292988,19.9656,7e-06,elderly
892f5a3625bffff,892f5a37527ffff,764851982,9602267747,12.0764,0.339796,elderly
892f5a3625bffff,892f5a3752bffff,764851982,472360457,16.7195,0.064927,elderly
892f5a3625bffff,892f5a3752fffff,764851982,10293242124,8.8414,0.590495,elderly
892f5a36283ffff,892f5a36213ffff,1143784300,1239443735,19.6072,0.000951,elderly
892f5a36283ffff,892f5a36283ffff,1143784300,1143784300,0.6882,0.997081,elderly
892f5a36283ffff,892f5a3628bffff,1143784300,1239449262,10.7045,0.444781,elderly
892f5a36283ffff,892f5a3628fffff,1143784300,1304643606,8.4757,0.618577,elderly
892f5a36283ffff,892f5a36293ffff,1143784300,2201592550,9.2339,0.560021,elderly
892f5a36283ffff,892f5a36297ffff,1143784300,1304643745,12.9509,0.276448,elderly
892f5a36283ffff,892f5a3629bffff,1143784300,1304643617,7.4067,0.698089,elderly
892f5a36283ffff,892f5a362c7ffff,1143784300,896901457,19.1796,0.004146,elderly
892f5a36283ffff,892f5a362d7ffff,1143784300,1239449343,16.4887,0.074146,elderly
892f5a36283ffff,892f5a36667ffff,1143784300,1304352208,16.8128,0.061362,elderly
892f5a3628bffff,892f5a36213ffff,1239449262,1239443735,10.2403,0.481134,elderly
892f5a3628bffff,892f5a3621bffff,1239449262,7878186387,17.0102,0.054134,elderly
892f5a3628bffff,892f5a36283ffff,1239449262,1143784300,12.0127,0.344541,elderly
892f5a3628bffff,892f5a3628bffff,1239449262,1239449262,0.1583,0.999845,elderly
892f5a3628bffff,892f5a3628fffff,1239449262,1304643606,7.5984,0.684181,elderly
892f5a3628bffff,892f5a36293ffff,1239449262,2201592550,17.0636,0.052252,elderly
892f5a3628bffff,892f5a3629bffff,1239449262,1304643617,10.0935,0.492659,elderly
892f5a3628bffff,892f5a362c7ffff,1239449262,896901457,9.8126,0.514714,elderly
892f5a3628bffff,892f5a362d3ffff,1239449262,471978645,18.9463,0.006834,elderly
892f5a3628bffff,892f5a362d7ffff,1239449262,1239449343,10.3037,0.476156,elderly
892f5a3628fffff,892f5a36213ffff,1304643606,1239443735,14.6286,0.167663,elderly
892f5a3628fffff,892f5a36283ffff,1304643606,1143784300,9.0384,0.575238,elderly
892f5a3628fffff,892f5a3628bffff,1304643606,1239449262,7.0237,0.725338,elderly
892f5a3628fffff,892f5a3628fffff,1304643606,1304643606,3.497,0.926441,elderly
892f5a3628fffff,892f5a36293ffff,1304643606,2201592550,17.5841,0.035572,elderly
892f5a3628fffff,892f5a36297ffff,1304643606,1304643745,19.0439,0.005629,elderly
892f5a3628fffff,892f5a3629bffff,1304643606,1304643617,15.7569,0.107005,elderly
892f5a3628fffff,892f5a362c7ffff,1304643606,896901457,14.2009,0.193488,elderly
892f5a3628fffff,892f5a362d7ffff,1304643606,1239449343,15.8937,0.100456,elderly
892f5a36293ffff,892f5a3605bffff,2201592550,2321419350,16.2786,0.083022,elderly
892f5a36293ffff,892f5a36283ffff,2201592550,1143784300,8.1683,0.641888,elderly
892f5a36293ffff,892f5a3628bffff,2201592550,1239449262,15.4734,0.121156,elderly
892f5a36293ffff,892f5a3628fffff,2201592550,1304643606,15.9558,0.097543,elderly
892f5a36293ffff,892f5a36293ffff,2201592550,2201592550,0.4216,0.998904,elderly
892f5a36293ffff,892f5a36297ffff,2201592550,1304643745,12.0302,0.343237,elderly
892f5a36293ffff,892f5a3629bffff,2201592550,1304643617,10.4497,0.464708,elderly
892f5a36293ffff,892f5a362d7ffff,2201592550,1239449343,19.7192,0.000486,elderly
892f5a36293ffff,892f5a36623ffff,2201592550,1075380045,19.6535,0.00074,elderly
892f5a36293ffff,892f5a3662bffff,2201592550,1304351798,14.2148,0.192628,elderly
892f5a36293ffff,892f5a3662fffff,2201592550,380476702,12.3846,0.317063,elderly
892f5a36293ffff,892f5a36667ffff,2201592550,1304352208,10.4692,0.463182,elderly
892f5a36293ffff,892f5a36677ffff,2201592550,318826498,17.5561,0.036392,elderly
892f5a36297ffff,892f5a3605bffff,1304643745,2321419350,15.6818,0.11068,elderly
892f5a36297ffff,892f5a36283ffff,1304643745,1143784300,12.7384,0.291499,elderly
892f5a36297ffff,892f5a3628fffff,1304643745,1304643606,17.8181,0.029079,elderly
892f5a36297ffff,892f5a36293ffff,1304643745,2201592550,12.205,0.330264,elderly
892f5a36297ffff,892f5a36297ffff,1304643745,1304643745,0.3871,0.999076,elderly
892f5a36297ffff,892f5a3629bffff,1304643745,1304643617,17.511,0.037731,elderly
892f5a36297ffff,892f5a3662fffff,1304643745,380476702,13.4249,0.243797,elderly
892f5a36297ffff,892f5a36667ffff,1304643745,1304352208,19.4743,0.001704,elderly
892f5a3629bffff,892f5a36213ffff,1304643617,1239443735,16.5369,0.072175,elderly
892f5a3629bffff,892f5a36283ffff,1304643617,1143784300,7.4524,0.694788,elderly
892f5a3629bffff,892f5a3628bffff,1304643617,1239449262,8.5864,0.610116,elderly
892f5a3629bffff,892f5a3628fffff,1304643617,1304643606,15.0016,0.14636,elderly
892f5a3629bffff,892f5a36293ffff,1304643617,2201592550,11.5611,0.378615,elderly
892f5a3629bffff,892f5a36297ffff,1304643617,1304643745,17.5911,0.035371,elderly
892f5a3629bffff,892f5a3629bffff,1304643617,1304643617,0.7444,0.996586,elderly
892f5a3629bffff,892f5a362c7ffff,1304643617,896901457,13.2333,0.256833,elderly
892f5a3629bffff,892f5a362d3ffff,1304643617,471978645,16.0335,0.093949,elderly
892f5a3629bffff,892f5a362d7ffff,1304643617,1239449343,10.0206,0.498384,elderly
892f5a3629bffff,892f5a36667ffff,1304643617,1304352208,17.2081,0.047315,elderly
892f5a362c3ffff,892f5a36213ffff,7946433661,1239443735,16.3559,0.079702,elderly
892f5a362c3ffff,892f5a3621bffff,7946433661,7878186387,14.2135,0.192707,elderly
892f5a362c3ffff,892f5a36253ffff,7946433661,11512438978,19.1364,0.004594,elderly
892f5a362c3ffff,892f5a36257ffff,7946433661,563748914,19.255,0.00342,elderly
892f5a362c3ffff,892f5a362c3ffff,7946433661,7946433661,0.2459,0.999627,elderly
892f5a362c3ffff,892f5a362c7ffff,7946433661,896901457,9.2626,0.557786,elderly
892f5a362c3ffff,892f5a362cbffff,7946433661,472359869,10.0287,0.497744,elderly
892f5a362c3ffff,892f5a362cfffff,7946433661,2095799546,9.9952,0.500377,elderly
892f5a362c3ffff,892f5a362d3ffff,7946433661,471978645,10.1231,0.490334,elderly
892f5a362c3ffff,892f5a362d7ffff,7946433661,1239449343,14.0808,0.200999,elderly
892f5a362c3ffff,892f5a362dbffff,7946433661,471978558,9.7998,0.515718,elderly
892f5a362c3ffff,892f5a37537ffff,7946433661,5495728727,16.5496,0.071659,elderly
892f5a362c3ffff,892f5a375a7ffff,7946433661,2327217335,18.728,0.009947,elderly
892f5a362c3ffff,892f5a375afffff,7946433661,5506743143,19.8746,9.7e-05,elderly
892f5a362c7ffff,892f5a36213ffff,896901457,1239443735,10.1983,0.484428,elderly
892f5a362c7ffff,892f5a3621bffff,896901457,7878186387,8.9112,0.585101,elderly
892f5a362c7ffff,892f5a36257ffff,896901457,563748914,18.0969,0.022175,elderly
892f5a362c7ffff,892f5a3628bffff,896901457,1239449262,11.7606,0.363482,elderly
892f5a362c7ffff,892f5a3628fffff,896901457,1304643606,15.7626,0.106732,elderly
892f5a362c7ffff,892f5a3629bffff,896901457,1304643617,16.2896,0.082547,elderly
892f5a362c7ffff,892f5a362c3ffff,896901457,7946433661,13.3964,0.245724,elderly
892f5a362c7ffff,892f5a362c7ffff,896901457,896901457,0.4279,0.998871,elderly
892f5a362c7ffff,892f5a362cbffff,896901457,472359869,15.3283,0.128693,elderly
892f5a362c7ffff,892f5a362cfffff,896901457,2095799546,11.287,0.399605,elderly
892f5a362c7ffff,892f5a362d3ffff,896901457,471978645,17.0861,0.051469,elderly
892f5a362c7ffff,892f5a362d7ffff,896901457,1239449343,10.2785,0.478134,elderly
892f5a362cbffff,892f5a36253ffff,472359869,11512438978,10.7886,0.438221,elderly
892f5a362cbffff,892f5a36257ffff,472359869,563748914,17.0993,0.05101,elderly
892f5a362cbffff,892f5a362c3ffff,472359869,7946433661,12.7265,0.292351,elderly
892f5a362cbffff,892f5a362c7ffff,472359869,896901457,15.9666,0.09704,elderly
892f5a362cbffff,892f5a362cbffff,472359869,472359869,0.1022,0.999936,elderly
892f5a362cbffff,892f5a362cfffff,472359869,2095799546,11.3397,0.395557,elderly
892f5a362cbffff,892f5a362d3ffff,472359869,471978645,18.2968,0.017788,elderly
892f5a362cbffff,892f5a362dbffff,472359869,471978558,13.3139,0.251325,elderly
892f5a362cbffff,892f5a37527ffff,472359869,9602267747,11.005,0.421395,elderly
892f5a362cbffff,892f5a3752fffff,472359869,10293242124,19.1779,0.004163,elderly
892f5a362cbffff,892f5a37537ffff,472359869,5495728727,13.0322,0.270754,elderly
892f5a362cbffff,892f5a375afffff,472359869,5506743143,19.9981,0.0,elderly
892f5a362cfffff,892f5a36213ffff,2095799546,1239443735,17.9621,0.025401,elderly
892f5a362cfffff,892f5a3621bffff,2095799546,7878186387,14.6286,0.167665,elderly
892f5a362cfffff,892f5a36243ffff,2095799546,822683298,16.8122,0.061387,elderly
892f5a362cfffff,892f5a36253ffff,2095799546,11512438978,10.3748,0.470581,elderly
892f5a362cfffff,892f5a36257ffff,2095799546,563748914,10.4934,0.461288,elderly
892f5a362cfffff,892f5a3625bffff,2095799546,764851982,19.1751,0.004192,elderly
892f5a362cfffff,892f5a362c3ffff,2095799546,7946433661,13.8468,0.215928,elderly
892f5a362cfffff,892f5a362c7ffff,2095799546,896901457,10.8688,0.431978,elderly
