h3_id,latitude,longitude,S_saude,S_educacao,S_abastecimento,S_lazer,S_servicos,I_seguranca,A_vegetacao,A_agua,C_conectividade,T_transporte,U_urbanidade,IQC
892f5a3758fffff,35.68940570722539,139.70077503798473,17.09,0.46,27.96,160.79,72.59,253.35,2.08,0.01,4.33,9.36,25.4,0.4718
892f5a3758bffff,35.69021540145423,139.70417698245294,9.82,0.11,12.4,111.14,31.4,245.66,3.4,0.02,2.96,2.42,7.3,0.2486
892f5a37513ffff,35.69243999780543,139.70162636409054,25.9,0.7,27.86,277.63,80.91,286.13,1.45,0.01,4.05,5.84,20.42,0.5007
892f5a37517ffff,35.6916301940683,139.69822445507214,21.97,4.57,25.18,207.61,87.63,339.95,4.19,0.09,6.23,8.47,15.94,0.5624
892f5a375bbffff,35.68859595310164,139.6973733130162,13.13,1.8,17.63,105.23,59.65,151.68,1.87,0.03,3.95,7.01,7.36,0.3372
892f5a37587ffff,35.68637145914085,139.69992379024748,6.0,1.48,11.65,52.62,36.18,59.82,1.02,0.0,2.89,5.88,6.41,0.2112
892f5a37583ffff,35.687181103760906,139.70332555066787,1.84,1.29,6.18,34.17,15.65,139.93,15.23,0.1,2.99,3.22,6.61,0.1737
892f5a3759bffff,35.68799068848029,139.70672753056922,3.63,0.55,8.42,61.59,16.02,217.92,67.03,2.29,6.09,1.21,56.8,0.3851
892f5a375d7ffff,35.69102503576893,139.7075791464181,11.56,1.9,25.28,151.79,42.69,325.79,17.6,0.35,5.32,4.68,12.09,0.4175
892f5a375c7ffff,35.693249741634155,139.7050284926246,14.81,0.23,24.25,197.56,47.75,212.32,1.29,0.02,3.28,3.55,4.59,0.3296
892f5a3751bffff,35.69547433086274,139.70247776857536,18.71,3.58,32.09,239.06,57.67,208.85,1.38,0.01,4.94,4.82,8.21,0.4389
892f5a37503ffff,35.69466447752114,139.69907567548918,21.61,12.61,22.9,258.74,71.16,261.85,1.1,0.05,5.22,3.93,6.71,0.5023
892f5a37507ffff,35.69385456427695,139.69567380193735,15.29,11.5,19.67,148.05,52.9,255.68,5.09,0.14,5.76,3.53,2.56,0.426
892f5a375abffff,35.690820330442044,139.69482276557216,12.33,7.53,18.85,120.23,57.98,326.08,9.03,0.18,7.35,7.94,12.04,0.4946
892f5a375a3ffff,35.687786139102194,139.69397180755,0.4,0.0,1.28,2.61,1.22,54.46,7.97,0.18,1.58,0.48,1.31,0.0462
892f5a375b3ffff,35.68556175463928,139.69652224931085,4.23,2.75,8.66,30.1,15.98,35.95,0.69,0.0,3.48,2.59,3.91,0.1483
892f5a3664bffff,35.683337253569896,139.6990726208684,2.7,1.62,6.46,14.54,9.86,25.19,1.17,0.0,2.68,2.56,3.17,0.1075
892f5a37597ffff,35.68414684857233,139.70247419725888,2.53,1.92,10.19,24.1,21.25,72.92,1.8,0.0,3.34,4.17,6.14,0.1723
892f5a37593ffff,35.684956383687556,139.70587599311438,0.18,0.02,0.44,5.35,1.2,43.47,94.2,3.85,4.49,0.16,52.44,0.2906
892f5aadb67ffff,35.685765858896346,139.70927800843208,0.68,0.03,2.0,13.71,2.96,76.23,88.39,4.11,5.38,0.3,74.58,0.351
892f5aadb6fffff,35.68880021327977,139.71012972994876,6.52,3.04,17.81,81.31,26.1,300.51,47.68,1.65,6.84,4.41,44.05,0.4638
892f5a375d3ffff,35.69183461015029,139.71098152987747,8.02,6.1,25.73,85.18,35.63,312.39,16.19,0.4,6.85,7.43,13.1,0.4556
892f5a375c3ffff,35.69405942553531,139.70843084067155,6.0,3.25,19.44,52.31,19.24,177.66,1.23,0.04,4.46,4.49,2.35,0.2609
892f5a375cfffff,35.69628412428255,139.70588008119321,14.01,3.3,36.07,155.24,42.68,228.05,1.31,0.04,5.84,5.52,4.27,0.4174
892f5a37557ffff,35.69850870637922,139.70332925144967,16.06,10.59,34.91,124.97,38.45,193.66,2.15,0.03,6.85,5.54,5.3,0.4588
892f5a3750bffff,35.69769880344199,139.6999269742777,15.27,14.46,27.11,147.92,41.49,194.92,1.43,0.01,6.51,5.19,5.16,0.4597
892f5a3750fffff,35.6968888405887,139.69652491665607,13.89,19.56,17.05,137.12,39.58,211.07,0.77,0.02,6.63,4.43,1.8,0.4506
892f5a3753bffff,35.69607881783858,139.69312307858752,9.54,11.47,15.47,50.32,24.39,129.76,1.03,0.07,4.73,2.5,3.34,0.2851
892f5a37533ffff,35.69304459114936,139.6922721479226,11.27,7.33,17.05,74.43,37.9,229.77,10.64,0.2,6.1,4.5,10.46,0.3771
892f5a375afffff,35.69001040694584,139.69142129559327,4.75,3.26,9.93,43.59,27.41,225.06,17.03,0.26,6.61,8.49,25.22,0.3753
892f5a375a7ffff,35.686976265246194,139.69057052158905,1.85,2.97,5.34,15.7,10.46,57.68,22.65,0.4,3.31,4.78,16.88,0.1967
892f5a375b7ffff,35.68475199027549,139.6931209278606,2.73,2.73,6.64,12.56,10.84,72.98,3.92,0.07,4.63,3.31,5.12,0.1705
892f5a3664fffff,35.68252759869942,139.69567126394566,4.01,3.13,5.67,10.65,10.37,39.91,5.78,0.0,4.3,2.11,4.2,0.1469
892f5a36643ffff,35.68030309053074,139.69822152983699,0.0,0.0,0.0,0.95,0.51,2.94,54.85,1.81,2.12,0.0,11.49,0.1145
892f5a3665bffff,35.681112635906686,139.70162292221556,3.87,2.46,9.15,20.19,16.35,113.15,11.92,0.13,4.57,3.39,6.75,0.2059
892f5aadb2fffff,35.68192212140888,139.70502453404316,2.9,3.99,9.81,24.87,16.71,156.95,21.36,0.75,5.59,2.29,13.08,0.2572
892f5aadb2bffff,35.68273154701806,139.70842636531702,1.67,3.25,5.08,11.86,9.04,107.13,54.85,3.01,6.76,1.72,56.1,0.3531
892f5aadb77ffff,35.683540912715046,139.71182841603442,0.17,0.1,0.35,3.04,0.76,15.31,85.98,5.31,4.14,0.11,61.05,0.3051
892f5aadb63ffff,35.68657527417945,139.71268024320932,0.11,0.0,0.94,6.11,1.11,58.43,85.99,3.98,3.67,0.05,38.99,0.2591
